"","ID","Scenario","hy.share"
"244","244","Baseline",0.42
"245","245","Baseline",0.42
"246","246","Baseline",0.5
"247","247","Baseline",0.39
"248","248","Baseline",0.37
"249","249","Baseline",0.47
"250","250","Baseline",0.48
"251","251","Baseline",0.39
"252","252","Baseline",0.44
"253","253","Baseline",0.39
"254","254","Baseline",0.4
"255","255","Baseline",0.39
"256","256","Baseline",0.41
"257","257","Baseline",0.43
"258","258","Baseline",0.38
"259","259","Baseline",0.48
"260","260","Baseline",0.42
"261","261","Baseline",0.43
"262","262","Baseline",0.44
"263","263","Baseline",0.41
"264","264","Baseline",0.46
"265","265","Baseline",0.36
"266","266","Baseline",0.51
"267","267","Baseline",0.42
"268","268","Baseline",0.36
"269","269","Baseline",0.49
"270","270","Baseline",0.35
"271","271","Baseline",0.33
"272","272","Baseline",0.31
"273","273","Baseline",0.35
"274","274","Baseline",0.46
"275","275","Baseline",0.35
"276","276","Baseline",0.47
"277","277","Baseline",0.35
"278","278","Baseline",0.38
"279","279","Baseline",0.45
"280","280","Baseline",0.41
"281","281","Baseline",0.5
"282","282","Baseline",0.47
"283","283","Baseline",0.38
"284","284","Baseline",0.49
"285","285","Baseline",0.46
"286","286","Baseline",0.49
"287","287","Baseline",0.35
"288","288","Baseline",0.35
"289","289","Baseline",0.46
"290","290","Baseline",0.36
"291","291","Baseline",0.25
"292","292","Baseline",0.35
"293","293","Baseline",0.46
"294","294","Baseline",0.42
"295","295","Baseline",0.41
"296","296","Baseline",0.44
"297","297","Baseline",0.46
"298","298","Baseline",0.41
"299","299","Baseline",0.57
"300","300","Baseline",0.41
"301","301","Baseline",0.51
"302","302","Baseline",0.48
"303","303","Baseline",0.33
"304","304","Baseline",0.4
"305","305","Baseline",0.42
"306","306","Baseline",0.45
"307","307","Baseline",0.5
"308","308","Baseline",0.49
"309","309","Baseline",0.29
"310","310","Baseline",0.49
"311","311","Baseline",0.41
"312","312","Baseline",0.47
"313","313","Baseline",0.37
"314","314","Baseline",0.37
"315","315","Baseline",0.4
"316","316","Baseline",0.47
"317","317","Baseline",0.52
"318","318","Baseline",0.42
"319","319","Baseline",0.3
"320","320","Baseline",0.42
"321","321","Baseline",0.43
"322","322","Baseline",0.47
"323","323","Baseline",0.38
"324","324","Baseline",0.36
"325","325","Baseline",0.52
"326","326","Baseline",0.37
"327","327","Baseline",0.55
"328","328","Baseline",0.42
"329","329","Baseline",0.4
"330","330","Baseline",0.4
"331","331","Baseline",0.39
"332","332","Baseline",0.43
"333","333","Baseline",0.49
"334","334","Baseline",0.56
"335","335","Baseline",0.58
"336","336","Baseline",0.47
"337","337","Baseline",0.35
"338","338","Baseline",0.38
"339","339","Baseline",0.36
"340","340","Baseline",0.37
"341","341","Baseline",0.38
"342","342","Baseline",0.34
"343","343","Baseline",0.25
"344","344","Baseline",0.41
"345","345","Baseline",0.37
"346","346","Baseline",0.4
"347","347","Baseline",0.41
"348","348","Baseline",0.57
"349","349","Baseline",0.34
"350","350","Baseline",0.52
"351","351","Baseline",0.49
"352","352","Baseline",0.45
"353","353","Baseline",0.42
"354","354","Baseline",0.39
"355","355","Baseline",0.58
"356","356","Baseline",0.47
"357","357","Baseline",0.46
"358","358","Baseline",0.34
"359","359","Baseline",0.49
"360","360","Baseline",0.35
"361","361","Baseline",0.46
"362","362","Baseline",0.45
"363","363","Baseline",0.32
"364","364","Baseline",0.5
"365","365","Baseline",0.3
"366","366","Baseline",0.36
"367","367","Baseline",0.5
"368","368","Baseline",0.43
"369","369","Baseline",0.5
"370","370","Baseline",0.48
"371","371","Baseline",0.46
"372","372","Baseline",0.31
"373","373","Baseline",0.45
"374","374","Baseline",0.43
"375","375","Baseline",0.41
"376","376","Baseline",0.52
"377","377","Baseline",0.4
"378","378","Baseline",0.46
"379","379","Baseline",0.44
"380","380","Baseline",0.37
"381","381","Baseline",0.47
"382","382","Baseline",0.49
"383","383","Baseline",0.44
"384","384","Baseline",0.43
"385","385","Baseline",0.45
"386","386","Baseline",0.41
"387","387","Baseline",0.42
"388","388","Baseline",0.38
"389","389","Baseline",0.4
"390","390","Baseline",0.34
"391","391","Baseline",0.44
"392","392","Baseline",0.38
"393","393","Baseline",0.33
"394","394","Baseline",0.46
"395","395","Baseline",0.38
"396","396","Baseline",0.45
"397","397","Baseline",0.34
"398","398","Baseline",0.46
"399","399","Baseline",0.42
"400","400","Baseline",0.46
"401","401","Baseline",0.37
"402","402","Baseline",0.45
"403","403","Baseline",0.46
"404","404","Baseline",0.34
"405","405","Baseline",0.53
"406","406","Baseline",0.42
"407","407","Baseline",0.37
"408","408","Baseline",0.38
"409","409","Baseline",0.54
"410","410","Baseline",0.45
"411","411","Baseline",0.32
"412","412","Baseline",0.51
"413","413","Baseline",0.5
"414","414","Baseline",0.42
"415","415","Baseline",0.43
"416","416","Baseline",0.47
"417","417","Baseline",0.37
"418","418","Baseline",0.39
"419","419","Baseline",0.32
"420","420","Baseline",0.28
"421","421","Baseline",0.41
"422","422","Baseline",0.33
"423","423","Baseline",0.46
"424","424","Baseline",0.45
"425","425","Baseline",0.46
"426","426","Baseline",0.39
"427","427","Baseline",0.4
"428","428","Baseline",0.52
"429","429","Baseline",0.39
"430","430","Baseline",0.34
"431","431","Baseline",0.57
"432","432","Baseline",0.37
"433","433","Baseline",0.42
"434","434","Baseline",0.53
"435","435","Baseline",0.35
"436","436","Baseline",0.49
"437","437","Baseline",0.46
"438","438","Baseline",0.54
"439","439","Baseline",0.38
"440","440","Baseline",0.4
"441","441","Baseline",0.47
"442","442","Baseline",0.4
"443","443","Baseline",0.49
"444","444","Baseline",0.33
"445","445","Baseline",0.54
"446","446","Baseline",0.39
"447","447","Baseline",0.45
"448","448","Baseline",0.5
"449","449","Baseline",0.52
"450","450","Baseline",0.48
"451","451","Baseline",0.47
"452","452","Baseline",0.46
"453","453","Baseline",0.52
"454","454","Baseline",0.56
"455","455","Baseline",0.4
"456","456","Baseline",0.42
"457","457","Baseline",0.41
"458","458","Baseline",0.39
"459","459","Baseline",0.27
"460","460","Baseline",0.4
"461","461","Baseline",0.49
"462","462","Baseline",0.47
"463","463","Baseline",0.44
"464","464","Baseline",0.6
"465","465","Baseline",0.46
"466","466","Baseline",0.45
"467","467","Baseline",0.49
"468","468","Baseline",0.38
"469","469","Baseline",0.33
"470","470","Baseline",0.5
"471","471","Baseline",0.43
"472","472","Baseline",0.33
"473","473","Baseline",0.35
"474","474","Baseline",0.42
"475","475","Baseline",0.58
"476","476","Baseline",0.55
"477","477","Baseline",0.44
"478","478","Baseline",0.45
"479","479","Baseline",0.54
"480","480","Baseline",0.45
"481","481","Baseline",0.55
"482","482","Baseline",0.65
"483","483","Baseline",0.38
"484","484","Baseline",0.38
"485","485","Baseline",0.44
"486","486","Baseline",0.39
"487","487","Baseline",0.45
"488","488","Baseline",0.51
"489","489","Baseline",0.45
"490","490","Baseline",0.52
"491","491","Baseline",0.44
"492","492","Baseline",0.32
"493","493","Baseline",0.47
"494","494","Baseline",0.39
"495","495","Baseline",0.39
"496","496","Baseline",0.44
"497","497","Baseline",0.37
"498","498","Baseline",0.5
"499","499","Baseline",0.56
"500","500","Baseline",0.37
"501","1","S1",0.87
"502","2","S1",0.95
"503","3","S1",0.96
"504","4","S1",1.02
"505","5","S1",0.89
"506","6","S1",1.05
"507","7","S1",0.9
"508","8","S1",0.94
"509","9","S1",1.07
"510","10","S1",0.89
"511","11","S1",1
"512","12","S1",0.9
"513","13","S1",0.96
"514","14","S1",0.85
"515","15","S1",0.98
"516","16","S1",0.91
"517","17","S1",0.89
"518","18","S1",0.74
"519","19","S1",0.96
"520","20","S1",0.77
"521","21","S1",0.83
"522","22","S1",0.97
"523","23","S1",0.96
"524","24","S1",0.85
"525","25","S1",0.93
"526","26","S1",1.01
"527","27","S1",0.93
"528","28","S1",0.89
"529","29","S1",0.84
"530","30","S1",0.89
"531","31","S1",0.94
"532","32","S1",0.87
"533","33","S1",0.9
"534","34","S1",0.77
"535","35","S1",0.85
"536","36","S1",1.03
"537","37","S1",1.04
"538","38","S1",0.9
"539","39","S1",0.82
"540","40","S1",0.86
"541","41","S1",0.92
"542","42","S1",0.92
"543","43","S1",1.09
"544","44","S1",0.83
"545","45","S1",1.01
"546","46","S1",0.91
"547","47","S1",0.83
"548","48","S1",0.74
"549","49","S1",1.01
"550","50","S1",1
"551","51","S1",0.82
"552","52","S1",0.85
"553","53","S1",0.99
"554","54","S1",1.01
"555","55","S1",1.02
"556","56","S1",1
"557","57","S1",1.05
"558","58","S1",0.92
"559","59","S1",0.91
"560","60","S1",0.8
"561","61","S1",0.82
"562","62","S1",0.93
"563","63","S1",1.02
"564","64","S1",0.96
"565","65","S1",0.89
"566","66","S1",0.87
"567","67","S1",0.8
"568","68","S1",0.97
"569","69","S1",0.76
"570","70","S1",0.89
"571","71","S1",0.76
"572","72","S1",0.88
"573","73","S1",1.01
"574","74","S1",0.89
"575","75","S1",1.08
"576","76","S1",1.08
"577","77","S1",0.73
"578","78","S1",0.87
"579","79","S1",1.05
"580","80","S1",0.93
"581","81","S1",0.85
"582","82","S1",0.92
"583","83","S1",0.95
"584","84","S1",0.81
"585","85","S1",1.01
"586","86","S1",0.91
"587","87","S1",0.96
"588","88","S1",0.87
"589","89","S1",0.91
"590","90","S1",0.79
"591","91","S1",0.9
"592","92","S1",1.12
"593","93","S1",0.93
"594","94","S1",1
"595","95","S1",0.95
"596","96","S1",0.99
"597","97","S1",0.83
"598","98","S1",1.09
"599","99","S1",0.91
"600","100","S1",0.83
"601","101","S1",0.86
"602","102","S1",0.8
"603","103","S1",0.96
"604","104","S1",0.92
"605","105","S1",1.01
"606","106","S1",0.89
"607","107","S1",0.87
"608","108","S1",0.82
"609","109","S1",0.86
"610","110","S1",1.03
"611","111","S1",0.86
"612","112","S1",0.86
"613","113","S1",0.77
"614","114","S1",0.86
"615","115","S1",0.8
"616","116","S1",0.78
"617","117","S1",1.06
"618","118","S1",0.82
"619","119","S1",0.89
"620","120","S1",0.96
"621","121","S1",1.08
"622","122","S1",0.86
"623","123","S1",0.8
"624","124","S1",0.95
"625","125","S1",1.01
"626","126","S1",0.91
"627","127","S1",0.77
"628","128","S1",0.97
"629","129","S1",0.87
"630","130","S1",0.94
"631","131","S1",1.11
"632","132","S1",0.95
"633","133","S1",0.96
"634","134","S1",1.11
"635","135","S1",0.76
"636","136","S1",0.81
"637","137","S1",0.81
"638","138","S1",0.95
"639","139","S1",0.79
"640","140","S1",0.92
"641","141","S1",0.67
"642","142","S1",0.9
"643","143","S1",0.9
"644","144","S1",0.9
"645","145","S1",0.79
"646","146","S1",0.82
"647","147","S1",0.88
"648","148","S1",0.99
"649","149","S1",1
"650","150","S1",0.98
"651","151","S1",0.84
"652","152","S1",1.07
"653","153","S1",0.85
"654","154","S1",0.92
"655","155","S1",0.91
"656","156","S1",0.85
"657","157","S1",0.85
"658","158","S1",0.86
"659","159","S1",0.87
"660","160","S1",1.01
"661","161","S1",0.89
"662","162","S1",0.86
"663","163","S1",1.04
"664","164","S1",0.84
"665","165","S1",0.91
"666","166","S1",0.96
"667","167","S1",0.91
"668","168","S1",1.02
"669","169","S1",0.9
"670","170","S1",0.9
"671","171","S1",1.08
"672","172","S1",0.84
"673","173","S1",1
"674","174","S1",0.91
"675","175","S1",0.95
"676","176","S1",0.87
"677","177","S1",0.95
"678","178","S1",0.91
"679","179","S1",0.9
"680","180","S1",0.8
"681","181","S1",1.05
"682","182","S1",0.85
"683","183","S1",0.81
"684","184","S1",0.89
"685","185","S1",1.16
"686","186","S1",0.87
"687","187","S1",0.86
"688","188","S1",0.98
"689","189","S1",0.88
"690","190","S1",1.03
"691","191","S1",0.92
"692","192","S1",0.99
"693","193","S1",0.72
"694","194","S1",0.82
"695","195","S1",0.9
"696","196","S1",1.02
"697","197","S1",0.78
"698","198","S1",0.98
"699","199","S1",0.85
"700","200","S1",1.07
"701","201","S1",0.91
"702","202","S1",0.87
"703","203","S1",0.91
"704","204","S1",0.96
"705","205","S1",0.9
"706","206","S1",1.2
"707","207","S1",0.89
"708","208","S1",0.7
"709","209","S1",0.9
"710","210","S1",0.93
"711","211","S1",0.69
"712","212","S1",0.69
"713","213","S1",0.99
"714","214","S1",0.92
"715","215","S1",0.87
"716","216","S1",0.73
"717","217","S1",0.86
"718","218","S1",0.93
"719","219","S1",0.85
"720","220","S1",0.89
"721","221","S1",0.96
"722","222","S1",0.92
"723","223","S1",1.08
"724","224","S1",1.01
"725","225","S1",0.72
"726","226","S1",1.01
"727","227","S1",0.91
"728","228","S1",0.94
"729","229","S1",0.94
"730","230","S1",0.88
"731","231","S1",0.85
"732","232","S1",0.8
"733","233","S1",0.82
"734","234","S1",0.99
"735","235","S1",0.95
"736","236","S1",0.91
"737","237","S1",0.87
"738","238","S1",0.64
"739","239","S1",1.02
"740","240","S1",0.84
"741","241","S1",0.92
"742","242","S1",0.86
"743","243","S1",0.97
"744","244","S1",0.99
"745","245","S1",0.83
"746","246","S1",0.9
"747","247","S1",0.86
"748","248","S1",0.79
"749","249","S1",0.94
"750","250","S1",0.91
"751","251","S1",0.93
"752","252","S1",1
"753","253","S1",0.97
"754","254","S1",0.94
"755","255","S1",0.98
"756","256","S1",0.88
"757","257","S1",0.9
"758","258","S1",1.03
"759","259","S1",0.92
"760","260","S1",0.92
"761","261","S1",0.88
"762","262","S1",1
"763","263","S1",0.99
"764","264","S1",0.97
"765","265","S1",0.76
"766","266","S1",0.94
"767","267","S1",0.85
"768","268","S1",0.79
"769","269","S1",1.04
"770","270","S1",0.88
"771","271","S1",0.87
"772","272","S1",0.66
"773","273","S1",0.72
"774","274","S1",0.84
"775","275","S1",0.88
"776","276","S1",1.12
"777","277","S1",0.79
"778","278","S1",0.9
"779","279","S1",0.85
"780","280","S1",0.98
"781","281","S1",1
"782","282","S1",1.14
"783","283","S1",0.84
"784","284","S1",0.91
"785","285","S1",0.91
"786","286","S1",0.98
"787","287","S1",0.74
"788","288","S1",0.82
"789","289","S1",0.99
"790","290","S1",0.9
"791","291","S1",0.75
"792","292","S1",0.92
"793","293","S1",0.88
"794","294","S1",1
"795","295","S1",0.92
"796","296","S1",0.92
"797","297","S1",0.89
"798","298","S1",0.87
"799","299","S1",1.04
"800","300","S1",0.87
"801","301","S1",1.02
"802","302","S1",1.05
"803","303","S1",0.89
"804","304","S1",0.77
"805","305","S1",0.81
"806","306","S1",0.98
"807","307","S1",0.87
"808","308","S1",1.02
"809","309","S1",0.81
"810","310","S1",1.01
"811","311","S1",0.93
"812","312","S1",0.91
"813","313","S1",0.89
"814","314","S1",0.78
"815","315","S1",0.86
"816","316","S1",1.02
"817","317","S1",0.95
"818","318","S1",0.75
"819","319","S1",0.8
"820","320","S1",0.92
"821","321","S1",0.75
"822","322","S1",0.96
"823","323","S1",0.73
"824","324","S1",0.96
"825","325","S1",0.95
"826","326","S1",0.91
"827","327","S1",0.97
"828","328","S1",0.9
"829","329","S1",1.02
"830","330","S1",0.92
"831","331","S1",0.77
"832","332","S1",0.91
"833","333","S1",0.79
"834","334","S1",0.99
"835","335","S1",1.03
"836","336","S1",0.92
"837","337","S1",0.93
"838","338","S1",0.9
"839","339","S1",0.92
"840","340","S1",0.87
"841","341","S1",0.87
"842","342","S1",1.02
"843","343","S1",0.78
"844","344","S1",0.9
"845","345","S1",0.89
"846","346","S1",0.91
"847","347","S1",0.85
"848","348","S1",1.05
"849","349","S1",0.87
"850","350","S1",1.01
"851","351","S1",0.98
"852","352","S1",0.99
"853","353","S1",0.99
"854","354","S1",0.97
"855","355","S1",1.01
"856","356","S1",1.08
"857","357","S1",0.9
"858","358","S1",0.85
"859","359","S1",0.9
"860","360","S1",0.85
"861","361","S1",1.18
"862","362","S1",0.89
"863","363","S1",0.77
"864","364","S1",0.9
"865","365","S1",0.68
"866","366","S1",0.88
"867","367","S1",1.03
"868","368","S1",0.9
"869","369","S1",1
"870","370","S1",0.99
"871","371","S1",0.96
"872","372","S1",0.88
"873","373","S1",0.96
"874","374","S1",1.07
"875","375","S1",1.01
"876","376","S1",0.81
"877","377","S1",0.93
"878","378","S1",1
"879","379","S1",0.97
"880","380","S1",0.93
"881","381","S1",0.85
"882","382","S1",0.85
"883","383","S1",1.02
"884","384","S1",0.96
"885","385","S1",0.91
"886","386","S1",0.83
"887","387","S1",0.86
"888","388","S1",0.95
"889","389","S1",0.9
"890","390","S1",0.84
"891","391","S1",0.86
"892","392","S1",0.81
"893","393","S1",0.9
"894","394","S1",0.93
"895","395","S1",0.93
"896","396","S1",0.86
"897","397","S1",0.88
"898","398","S1",0.78
"899","399","S1",0.87
"900","400","S1",0.96
"901","401","S1",0.89
"902","402","S1",0.9
"903","403","S1",0.92
"904","404","S1",0.78
"905","405","S1",1.03
"906","406","S1",0.79
"907","407","S1",0.84
"908","408","S1",0.89
"909","409","S1",1.03
"910","410","S1",0.92
"911","411","S1",0.81
"912","412","S1",1.01
"913","413","S1",0.97
"914","414","S1",0.88
"915","415","S1",1.07
"916","416","S1",0.91
"917","417","S1",0.86
"918","418","S1",0.9
"919","419","S1",0.8
"920","420","S1",0.8
"921","421","S1",0.95
"922","422","S1",0.75
"923","423","S1",0.91
"924","424","S1",1.02
"925","425","S1",1.03
"926","426","S1",0.92
"927","427","S1",0.72
"928","428","S1",1.08
"929","429","S1",0.85
"930","430","S1",0.83
"931","431","S1",1.04
"932","432","S1",0.85
"933","433","S1",1.03
"934","434","S1",1.01
"935","435","S1",0.98
"936","436","S1",1.01
"937","437","S1",0.81
"938","438","S1",1
"939","439","S1",0.86
"940","440","S1",0.9
"941","441","S1",0.9
"942","442","S1",0.92
"943","443","S1",1.08
"944","444","S1",0.94
"945","445","S1",1.03
"946","446","S1",0.79
"947","447","S1",0.91
"948","448","S1",1.03
"949","449","S1",1.14
"950","450","S1",1.07
"951","451","S1",1.04
"952","452","S1",0.86
"953","453","S1",0.96
"954","454","S1",1.02
"955","455","S1",0.82
"956","456","S1",0.91
"957","457","S1",1.08
"958","458","S1",0.88
"959","459","S1",0.65
"960","460","S1",0.84
"961","461","S1",0.91
"962","462","S1",0.97
"963","463","S1",0.91
"964","464","S1",0.94
"965","465","S1",0.99
"966","466","S1",0.96
"967","467","S1",0.92
"968","468","S1",0.88
"969","469","S1",0.73
"970","470","S1",1
"971","471","S1",0.98
"972","472","S1",0.85
"973","473","S1",0.98
"974","474","S1",0.81
"975","475","S1",1.01
"976","476","S1",0.96
"977","477","S1",1.03
"978","478","S1",0.77
"979","479","S1",0.88
"980","480","S1",0.92
"981","481","S1",1.14
"982","482","S1",1.04
"983","483","S1",1.01
"984","484","S1",0.93
"985","485","S1",0.97
"986","486","S1",0.87
"987","487","S1",0.77
"988","488","S1",0.99
"989","489","S1",0.89
"990","490","S1",0.88
"991","491","S1",0.81
"992","492","S1",0.77
"993","493","S1",1.04
"994","494","S1",0.72
"995","495","S1",0.87
"996","496","S1",0.8
"997","497","S1",0.85
"998","498","S1",0.98
"999","499","S1",1.02
"1000","500","S1",0.85
"1001","1","S2",0.99
"1002","2","S2",0.98
"1003","3","S2",1.01
"1004","4","S2",1.1
"1005","5","S2",0.93
"1006","6","S2",1.09
"1007","7","S2",1.02
"1008","8","S2",0.98
"1009","9","S2",1.12
"1010","10","S2",0.98
"1011","11","S2",1.08
"1012","12","S2",1.01
"1013","13","S2",1.02
"1014","14","S2",0.91
"1015","15","S2",1.04
"1016","16","S2",0.99
"1017","17","S2",0.98
"1018","18","S2",0.82
"1019","19","S2",1.01
"1020","20","S2",0.8
"1021","21","S2",0.89
"1022","22","S2",1.02
"1023","23","S2",1.08
"1024","24","S2",0.95
"1025","25","S2",1
"1026","26","S2",1.03
"1027","27","S2",1.05
"1028","28","S2",0.98
"1029","29","S2",0.86
"1030","30","S2",0.98
"1031","31","S2",1.05
"1032","32","S2",0.87
"1033","33","S2",0.97
"1034","34","S2",0.79
"1035","35","S2",0.93
"1036","36","S2",1.05
"1037","37","S2",1.12
"1038","38","S2",0.98
"1039","39","S2",0.89
"1040","40","S2",0.95
"1041","41","S2",0.98
"1042","42","S2",0.96
"1043","43","S2",1.14
"1044","44","S2",0.89
"1045","45","S2",1.08
"1046","46","S2",0.95
"1047","47","S2",0.92
"1048","48","S2",0.83
"1049","49","S2",1.09
"1050","50","S2",1.02
"1051","51","S2",0.9
"1052","52","S2",0.91
"1053","53","S2",1.05
"1054","54","S2",1.11
"1055","55","S2",1.07
"1056","56","S2",1.08
"1057","57","S2",1.1
"1058","58","S2",0.93
"1059","59","S2",0.94
"1060","60","S2",0.81
"1061","61","S2",0.87
"1062","62","S2",1.05
"1063","63","S2",1.06
"1064","64","S2",0.98
"1065","65","S2",0.93
"1066","66","S2",0.93
"1067","67","S2",0.8
"1068","68","S2",1.01
"1069","69","S2",0.83
"1070","70","S2",0.95
"1071","71","S2",0.84
"1072","72","S2",0.95
"1073","73","S2",1.06
"1074","74","S2",0.95
"1075","75","S2",1.11
"1076","76","S2",1.15
