"","ID","Scenario","truck.share"
"92","92","Baseline",43.5
"93","93","Baseline",42.78
"94","94","Baseline",43.93
"95","95","Baseline",43.68
"96","96","Baseline",42.77
"97","97","Baseline",43.1
"98","98","Baseline",43.4
"99","99","Baseline",43.6
"100","100","Baseline",44.14
"101","101","Baseline",43.61
"102","102","Baseline",43.03
"103","103","Baseline",43.51
"104","104","Baseline",43.56
"105","105","Baseline",43.05
"106","106","Baseline",44.04
"107","107","Baseline",43.21
"108","108","Baseline",44
"109","109","Baseline",43.54
"110","110","Baseline",43.09
"111","111","Baseline",43.48
"112","112","Baseline",43.88
"113","113","Baseline",45.04
"114","114","Baseline",43.54
"115","115","Baseline",44.33
"116","116","Baseline",43.84
"117","117","Baseline",42.87
"118","118","Baseline",43.03
"119","119","Baseline",44.02
"120","120","Baseline",42.89
"121","121","Baseline",43.37
"122","122","Baseline",43.44
"123","123","Baseline",43.33
"124","124","Baseline",43.68
"125","125","Baseline",43.64
"126","126","Baseline",44.38
"127","127","Baseline",44.69
"128","128","Baseline",44.38
"129","129","Baseline",42.97
"130","130","Baseline",43.19
"131","131","Baseline",43.71
"132","132","Baseline",43.1
"133","133","Baseline",44.23
"134","134","Baseline",42.86
"135","135","Baseline",44.16
"136","136","Baseline",43.27
"137","137","Baseline",43.41
"138","138","Baseline",43.25
"139","139","Baseline",43.92
"140","140","Baseline",43.33
"141","141","Baseline",42.66
"142","142","Baseline",43.13
"143","143","Baseline",43.26
"144","144","Baseline",44.61
"145","145","Baseline",42.74
"146","146","Baseline",43.03
"147","147","Baseline",43.92
"148","148","Baseline",43.46
"149","149","Baseline",43.79
"150","150","Baseline",43.94
"151","151","Baseline",44.24
"152","152","Baseline",42.71
"153","153","Baseline",43.8
"154","154","Baseline",43.74
"155","155","Baseline",43.67
"156","156","Baseline",43.35
"157","157","Baseline",43.99
"158","158","Baseline",44.27
"159","159","Baseline",43.81
"160","160","Baseline",43.49
"161","161","Baseline",44.57
"162","162","Baseline",43.18
"163","163","Baseline",43.83
"164","164","Baseline",43.62
"165","165","Baseline",43.47
"166","166","Baseline",43.82
"167","167","Baseline",43.43
"168","168","Baseline",43.16
"169","169","Baseline",44.23
"170","170","Baseline",43.4
"171","171","Baseline",42.85
"172","172","Baseline",44.2
"173","173","Baseline",44.36
"174","174","Baseline",44.18
"175","175","Baseline",43.22
"176","176","Baseline",43.09
"177","177","Baseline",44.85
"178","178","Baseline",42.95
"179","179","Baseline",44.14
"180","180","Baseline",43.63
"181","181","Baseline",43.65
"182","182","Baseline",44.21
"183","183","Baseline",43.49
"184","184","Baseline",43.99
"185","185","Baseline",43.11
"186","186","Baseline",42.46
"187","187","Baseline",43.71
"188","188","Baseline",42.95
"189","189","Baseline",43.48
"190","190","Baseline",42.9
"191","191","Baseline",43.73
"192","192","Baseline",43.61
"193","193","Baseline",42.88
"194","194","Baseline",43.76
"195","195","Baseline",43.98
"196","196","Baseline",43.27
"197","197","Baseline",44.43
"198","198","Baseline",43.79
"199","199","Baseline",43.01
"200","200","Baseline",44.25
"201","201","Baseline",43.94
"202","202","Baseline",44.28
"203","203","Baseline",43.34
"204","204","Baseline",43.6
"205","205","Baseline",43.68
"206","206","Baseline",43.44
"207","207","Baseline",43.7
"208","208","Baseline",43.38
"209","209","Baseline",44.28
"210","210","Baseline",43.63
"211","211","Baseline",43.22
"212","212","Baseline",43.74
"213","213","Baseline",42.59
"214","214","Baseline",43.55
"215","215","Baseline",43.1
"216","216","Baseline",43.75
"217","217","Baseline",43.08
"218","218","Baseline",44.63
"219","219","Baseline",44.22
"220","220","Baseline",43.57
"221","221","Baseline",42.65
"222","222","Baseline",43.27
"223","223","Baseline",42.48
"224","224","Baseline",43.91
"225","225","Baseline",43.9
"226","226","Baseline",43.22
"227","227","Baseline",43.39
"228","228","Baseline",43.48
"229","229","Baseline",43.23
"230","230","Baseline",43.52
"231","231","Baseline",43.24
"232","232","Baseline",42.72
"233","233","Baseline",42.84
"234","234","Baseline",43.31
"235","235","Baseline",42.82
"236","236","Baseline",44.86
"237","237","Baseline",43.08
"238","238","Baseline",43.22
"239","239","Baseline",43.63
"240","240","Baseline",42.17
"241","241","Baseline",43.79
"242","242","Baseline",43.51
"243","243","Baseline",42.7
"244","244","Baseline",42.72
"245","245","Baseline",43.58
"246","246","Baseline",43.88
"247","247","Baseline",43.49
"248","248","Baseline",43.29
"249","249","Baseline",43.85
"250","250","Baseline",43.63
"251","251","Baseline",42.47
"252","252","Baseline",43.59
"253","253","Baseline",43.95
"254","254","Baseline",43.11
"255","255","Baseline",44.17
"256","256","Baseline",43.41
"257","257","Baseline",43.31
"258","258","Baseline",43.37
"259","259","Baseline",43.19
"260","260","Baseline",43.45
"261","261","Baseline",42.39
"262","262","Baseline",42.75
"263","263","Baseline",42.51
"264","264","Baseline",43.17
"265","265","Baseline",44.72
"266","266","Baseline",43.16
"267","267","Baseline",43.08
"268","268","Baseline",43.74
"269","269","Baseline",44.1
"270","270","Baseline",44.23
"271","271","Baseline",43.48
"272","272","Baseline",43.31
"273","273","Baseline",43.16
"274","274","Baseline",42.79
"275","275","Baseline",43.21
"276","276","Baseline",42.86
"277","277","Baseline",43.87
"278","278","Baseline",43.23
"279","279","Baseline",44.18
"280","280","Baseline",42.85
"281","281","Baseline",43.06
"282","282","Baseline",43.96
"283","283","Baseline",43.16
"284","284","Baseline",43.58
"285","285","Baseline",43.55
"286","286","Baseline",43.15
"287","287","Baseline",43.65
"288","288","Baseline",43.62
"289","289","Baseline",44.35
"290","290","Baseline",43.75
"291","291","Baseline",43.85
"292","292","Baseline",43.59
"293","293","Baseline",43.27
"294","294","Baseline",43.41
"295","295","Baseline",43.15
"296","296","Baseline",43.63
"297","297","Baseline",43.77
"298","298","Baseline",44.17
"299","299","Baseline",43.97
"300","300","Baseline",43.51
"301","301","Baseline",43.9
"302","302","Baseline",43.47
"303","303","Baseline",43.79
"304","304","Baseline",43.41
"305","305","Baseline",42.94
"306","306","Baseline",43.08
"307","307","Baseline",43.18
"308","308","Baseline",43.4
"309","309","Baseline",42.87
"310","310","Baseline",44.18
"311","311","Baseline",43.67
"312","312","Baseline",43.17
"313","313","Baseline",43.03
"314","314","Baseline",43.68
"315","315","Baseline",43.83
"316","316","Baseline",43.31
"317","317","Baseline",43.54
"318","318","Baseline",43.29
"319","319","Baseline",43.15
"320","320","Baseline",44.13
"321","321","Baseline",44.08
"322","322","Baseline",43.6
"323","323","Baseline",42.95
"324","324","Baseline",43.57
"325","325","Baseline",43.05
"326","326","Baseline",42.55
"327","327","Baseline",44.21
"328","328","Baseline",43.76
"329","329","Baseline",43.62
"330","330","Baseline",43.79
"331","331","Baseline",44.02
"332","332","Baseline",43.52
"333","333","Baseline",42.65
"334","334","Baseline",43.91
"335","335","Baseline",43.42
"336","336","Baseline",43.34
"337","337","Baseline",43.67
"338","338","Baseline",44.28
"339","339","Baseline",43.46
"340","340","Baseline",44.09
"341","341","Baseline",43.07
"342","342","Baseline",43.57
"343","343","Baseline",43.27
"344","344","Baseline",43.59
"345","345","Baseline",43.08
"346","346","Baseline",42.98
"347","347","Baseline",44.01
"348","348","Baseline",43.37
"349","349","Baseline",43.8
"350","350","Baseline",43.43
"351","351","Baseline",43.27
"352","352","Baseline",43.62
"353","353","Baseline",43.47
"354","354","Baseline",43.21
"355","355","Baseline",43.08
"356","356","Baseline",43.21
"357","357","Baseline",43.27
"358","358","Baseline",43.68
"359","359","Baseline",42.75
"360","360","Baseline",44.13
"361","361","Baseline",43.23
"362","362","Baseline",43.23
"363","363","Baseline",43.67
"364","364","Baseline",43.09
"365","365","Baseline",43.72
"366","366","Baseline",43.54
"367","367","Baseline",43.46
"368","368","Baseline",43.94
"369","369","Baseline",43.72
"370","370","Baseline",43.76
"371","371","Baseline",42.32
"372","372","Baseline",43.1
"373","373","Baseline",43.36
"374","374","Baseline",43.5
"375","375","Baseline",43.84
"376","376","Baseline",43.32
"377","377","Baseline",43.02
"378","378","Baseline",43.75
"379","379","Baseline",42.9
"380","380","Baseline",43.66
"381","381","Baseline",43.78
"382","382","Baseline",43.56
"383","383","Baseline",43.34
"384","384","Baseline",43.16
"385","385","Baseline",43.83
"386","386","Baseline",43.82
"387","387","Baseline",43.26
"388","388","Baseline",43.83
"389","389","Baseline",44.04
"390","390","Baseline",43.85
"391","391","Baseline",43.41
"392","392","Baseline",43.18
"393","393","Baseline",43.96
"394","394","Baseline",43.3
"395","395","Baseline",44.89
"396","396","Baseline",43.55
"397","397","Baseline",43.66
"398","398","Baseline",42.71
"399","399","Baseline",44.03
"400","400","Baseline",44.07
"401","401","Baseline",43.59
"402","402","Baseline",43.21
"403","403","Baseline",43.14
"404","404","Baseline",42.77
"405","405","Baseline",43.94
"406","406","Baseline",43.82
"407","407","Baseline",43.77
"408","408","Baseline",43.45
"409","409","Baseline",43.96
"410","410","Baseline",44.85
"411","411","Baseline",42.58
"412","412","Baseline",43.29
"413","413","Baseline",43.39
"414","414","Baseline",43.2
"415","415","Baseline",43.79
"416","416","Baseline",43.58
"417","417","Baseline",42.96
"418","418","Baseline",43.82
"419","419","Baseline",43.48
"420","420","Baseline",43.99
"421","421","Baseline",43.46
"422","422","Baseline",43.96
"423","423","Baseline",43.84
"424","424","Baseline",42.93
"425","425","Baseline",43.21
"426","426","Baseline",43.72
"427","427","Baseline",42.87
"428","428","Baseline",43.77
"429","429","Baseline",43.78
"430","430","Baseline",43.37
"431","431","Baseline",43.74
"432","432","Baseline",43.18
"433","433","Baseline",43.09
"434","434","Baseline",43.45
"435","435","Baseline",44.19
"436","436","Baseline",42.78
"437","437","Baseline",43.56
"438","438","Baseline",43.14
"439","439","Baseline",43.95
"440","440","Baseline",43.38
"441","441","Baseline",43.91
"442","442","Baseline",44.53
"443","443","Baseline",42.91
"444","444","Baseline",43.47
"445","445","Baseline",43.34
"446","446","Baseline",43.27
"447","447","Baseline",43.21
"448","448","Baseline",43.57
"449","449","Baseline",43.51
"450","450","Baseline",44.2
"451","451","Baseline",43.06
"452","452","Baseline",42.95
"453","453","Baseline",43.52
"454","454","Baseline",42.79
"455","455","Baseline",43.28
"456","456","Baseline",42.85
"457","457","Baseline",42.72
"458","458","Baseline",43.21
"459","459","Baseline",43.16
"460","460","Baseline",43.28
"461","461","Baseline",43.28
"462","462","Baseline",43.86
"463","463","Baseline",43.31
"464","464","Baseline",43.89
"465","465","Baseline",43.98
"466","466","Baseline",44.18
"467","467","Baseline",43.42
"468","468","Baseline",43.4
"469","469","Baseline",44.86
"470","470","Baseline",43.84
"471","471","Baseline",42.96
"472","472","Baseline",43.86
"473","473","Baseline",43.82
"474","474","Baseline",44.24
"475","475","Baseline",43.99
"476","476","Baseline",43.36
"477","477","Baseline",43.24
"478","478","Baseline",43.87
"479","479","Baseline",43.08
"480","480","Baseline",43.24
"481","481","Baseline",44.03
"482","482","Baseline",44.33
"483","483","Baseline",43.5
"484","484","Baseline",43.26
"485","485","Baseline",43.08
"486","486","Baseline",42.98
"487","487","Baseline",44.13
"488","488","Baseline",43.95
"489","489","Baseline",42.67
"490","490","Baseline",43.2
"491","491","Baseline",43.95
"492","492","Baseline",43.32
"493","493","Baseline",43.67
"494","494","Baseline",43
"495","495","Baseline",43.8
"496","496","Baseline",43.14
"497","497","Baseline",43.97
"498","498","Baseline",43.96
"499","499","Baseline",43.92
"500","500","Baseline",43.7
"501","1","S1",45.71
"502","2","S1",45.42
"503","3","S1",46.31
"504","4","S1",46.86
"505","5","S1",45.85
"506","6","S1",45.98
"507","7","S1",45.86
"508","8","S1",45.72
"509","9","S1",45.5
"510","10","S1",45.63
"511","11","S1",44.96
"512","12","S1",45.21
"513","13","S1",44.91
"514","14","S1",45.56
"515","15","S1",45.49
"516","16","S1",45.05
"517","17","S1",45.92
"518","18","S1",45.93
"519","19","S1",45.79
"520","20","S1",46.01
"521","21","S1",45.12
"522","22","S1",45.67
"523","23","S1",44.94
"524","24","S1",45.49
"525","25","S1",46.41
"526","26","S1",46.01
"527","27","S1",46.38
"528","28","S1",45.65
"529","29","S1",45.48
"530","30","S1",46.06
"531","31","S1",45.98
"532","32","S1",46.46
"533","33","S1",45.39
"534","34","S1",45.53
"535","35","S1",45.78
"536","36","S1",45.64
"537","37","S1",45.7
"538","38","S1",45.27
"539","39","S1",46.05
"540","40","S1",47.02
"541","41","S1",46.78
"542","42","S1",46.22
"543","43","S1",46.06
"544","44","S1",45.57
"545","45","S1",46
"546","46","S1",46.11
"547","47","S1",45.76
"548","48","S1",45.47
"549","49","S1",45.64
"550","50","S1",45.23
"551","51","S1",46.16
"552","52","S1",45.81
"553","53","S1",46.43
"554","54","S1",46.18
"555","55","S1",45.61
"556","56","S1",45.27
"557","57","S1",46.09
"558","58","S1",46.12
"559","59","S1",45.92
"560","60","S1",45.94
"561","61","S1",45.92
"562","62","S1",45.84
"563","63","S1",45.92
"564","64","S1",45.6
"565","65","S1",45.97
"566","66","S1",45.88
"567","67","S1",46.06
"568","68","S1",46.28
"569","69","S1",45.83
"570","70","S1",45.6
"571","71","S1",45.67
"572","72","S1",46.26
"573","73","S1",46.36
"574","74","S1",46.32
"575","75","S1",46.18
"576","76","S1",44.94
"577","77","S1",45.55
"578","78","S1",45.77
"579","79","S1",45.97
"580","80","S1",46.08
"581","81","S1",46.18
"582","82","S1",46.46
"583","83","S1",45.22
"584","84","S1",45.34
"585","85","S1",45.96
"586","86","S1",45.72
"587","87","S1",45.77
"588","88","S1",45.69
"589","89","S1",46.09
"590","90","S1",45.51
"591","91","S1",45.76
"592","92","S1",45.87
"593","93","S1",45.1
"594","94","S1",46.27
"595","95","S1",45.7
"596","96","S1",45.12
"597","97","S1",45.6
"598","98","S1",45.53
"599","99","S1",46.31
"600","100","S1",46.71
"601","101","S1",46.19
"602","102","S1",45.78
"603","103","S1",45.88
"604","104","S1",45.55
"605","105","S1",45
"606","106","S1",45.95
"607","107","S1",45.44
"608","108","S1",45.83
"609","109","S1",45.97
"610","110","S1",45.79
"611","111","S1",45.81
"612","112","S1",45.81
"613","113","S1",47.03
"614","114","S1",45.58
"615","115","S1",46.82
"616","116","S1",46.19
"617","117","S1",45.45
"618","118","S1",45.72
"619","119","S1",46.31
"620","120","S1",45.34
"621","121","S1",45.77
"622","122","S1",45.79
"623","123","S1",45.56
"624","124","S1",46.79
"625","125","S1",45.67
"626","126","S1",46.78
"627","127","S1",46.69
"628","128","S1",46.22
"629","129","S1",44.88
"630","130","S1",45.54
"631","131","S1",46.04
"632","132","S1",45.52
"633","133","S1",46.54
"634","134","S1",45.35
"635","135","S1",46.29
"636","136","S1",45.64
"637","137","S1",45.88
"638","138","S1",45.33
"639","139","S1",46.57
"640","140","S1",46.18
"641","141","S1",44.9
"642","142","S1",45.7
"643","143","S1",46.05
"644","144","S1",46.87
"645","145","S1",45.41
"646","146","S1",44.92
"647","147","S1",46.31
"648","148","S1",46.26
"649","149","S1",46.39
"650","150","S1",46.25
"651","151","S1",46.75
"652","152","S1",44.61
"653","153","S1",46.6
"654","154","S1",45.89
"655","155","S1",45.99
"656","156","S1",45.6
"657","157","S1",46.02
"658","158","S1",46.33
"659","159","S1",46.3
"660","160","S1",45.57
"661","161","S1",46.86
"662","162","S1",45.99
"663","163","S1",46.04
"664","164","S1",46.05
"665","165","S1",45.44
"666","166","S1",45.89
"667","167","S1",46.17
"668","168","S1",45.49
"669","169","S1",46.15
"670","170","S1",45.76
"671","171","S1",45.33
"672","172","S1",46.35
"673","173","S1",46.6
"674","174","S1",46.47
"675","175","S1",45.41
"676","176","S1",45.44
"677","177","S1",46.76
"678","178","S1",45.97
"679","179","S1",46.26
"680","180","S1",45.92
"681","181","S1",46.42
"682","182","S1",45.94
"683","183","S1",45.95
"684","184","S1",46.15
"685","185","S1",45.95
"686","186","S1",45.27
"687","187","S1",46.44
"688","188","S1",45.15
"689","189","S1",45.68
"690","190","S1",45.07
"691","191","S1",46.21
"692","192","S1",45.71
"693","193","S1",44.95
"694","194","S1",45.95
"695","195","S1",46.19
"696","196","S1",45.44
"697","197","S1",46.72
"698","198","S1",46.35
"699","199","S1",44.66
"700","200","S1",46.44
"701","201","S1",45.98
"702","202","S1",46.49
"703","203","S1",45.95
"704","204","S1",45.48
"705","205","S1",46.15
"706","206","S1",45.56
"707","207","S1",46.7
"708","208","S1",46.02
"709","209","S1",46.08
"710","210","S1",45.58
"711","211","S1",46.02
"712","212","S1",46.64
"713","213","S1",45.01
"714","214","S1",46.07
"715","215","S1",46.07
"716","216","S1",45.63
"717","217","S1",45.45
"718","218","S1",46.75
"719","219","S1",46.58
"720","220","S1",46.1
"721","221","S1",44.7
"722","222","S1",45.92
"723","223","S1",45.15
"724","224","S1",46.49
"725","225","S1",46.82
"726","226","S1",46.11
"727","227","S1",45.14
"728","228","S1",46.01
"729","229","S1",45.35
"730","230","S1",45.5
"731","231","S1",45.8
"732","232","S1",45.19
"733","233","S1",45.7
"734","234","S1",45.99
"735","235","S1",45.46
"736","236","S1",46.55
"737","237","S1",45.46
"738","238","S1",45.89
"739","239","S1",45.81
"740","240","S1",44.99
"741","241","S1",46.23
"742","242","S1",45.69
"743","243","S1",45.28
"744","244","S1",45.23
"745","245","S1",46.24
"746","246","S1",46.29
"747","247","S1",45.69
"748","248","S1",45.85
"749","249","S1",46.04
"750","250","S1",45.96
"751","251","S1",45.31
"752","252","S1",46.32
"753","253","S1",46.25
"754","254","S1",45.93
"755","255","S1",46.15
"756","256","S1",45.6
"757","257","S1",45.55
"758","258","S1",45.74
"759","259","S1",45.54
"760","260","S1",45.7
"761","261","S1",44.96
"762","262","S1",45.12
"763","263","S1",45.07
"764","264","S1",46.01
"765","265","S1",46.73
"766","266","S1",45.52
"767","267","S1",45.64
"768","268","S1",45.94
"769","269","S1",46.45
"770","270","S1",46.16
"771","271","S1",45.79
"772","272","S1",46
"773","273","S1",45.71
"774","274","S1",44.87
"775","275","S1",45.83
"776","276","S1",45.5
"777","277","S1",46.3
"778","278","S1",45.53
"779","279","S1",46.16
"780","280","S1",45.39
"781","281","S1",45.63
"782","282","S1",46.32
"783","283","S1",45.39
"784","284","S1",46.03
"785","285","S1",45.82
"786","286","S1",45.44
"787","287","S1",46.28
"788","288","S1",46.11
"789","289","S1",47.03
"790","290","S1",46.37
"791","291","S1",46.17
"792","292","S1",45.99
"793","293","S1",45.81
"794","294","S1",45.62
"795","295","S1",45.64
"796","296","S1",45.81
"797","297","S1",45.35
"798","298","S1",46.41
"799","299","S1",46.05
"800","300","S1",45.99
"801","301","S1",45.47
"802","302","S1",45.54
"803","303","S1",46
"804","304","S1",45.99
"805","305","S1",45.42
"806","306","S1",45.36
"807","307","S1",45.5
"808","308","S1",45.64
"809","309","S1",45.58
"810","310","S1",46.21
"811","311","S1",45.88
"812","312","S1",45.87
"813","313","S1",45.64
"814","314","S1",45.63
"815","315","S1",46.25
"816","316","S1",45.65
"817","317","S1",46.36
"818","318","S1",45.59
"819","319","S1",44.95
"820","320","S1",45.76
"821","321","S1",46.98
"822","322","S1",45.48
"823","323","S1",45.54
"824","324","S1",45.71
"825","325","S1",45.81
"826","326","S1",44.73
"827","327","S1",45.94
"828","328","S1",46.17
"829","329","S1",45.79
"830","330","S1",46.1
"831","331","S1",46.44
"832","332","S1",45.77
"833","333","S1",44.96
"834","334","S1",46.28
"835","335","S1",45.66
"836","336","S1",45.36
"837","337","S1",46.01
"838","338","S1",46.23
"839","339","S1",46
"840","340","S1",46.47
"841","341","S1",45.55
"842","342","S1",45.64
"843","343","S1",45.88
"844","344","S1",46.31
"845","345","S1",45.55
"846","346","S1",45.66
"847","347","S1",46.71
"848","348","S1",44.98
"849","349","S1",46.19
"850","350","S1",46.11
"851","351","S1",45.41
"852","352","S1",45.02
"853","353","S1",46.24
"854","354","S1",45.83
"855","355","S1",45.45
"856","356","S1",44.95
"857","357","S1",45.77
"858","358","S1",45.94
"859","359","S1",45.29
"860","360","S1",46.53
"861","361","S1",45.83
"862","362","S1",45.74
"863","363","S1",46.08
"864","364","S1",45.71
"865","365","S1",45.83
"866","366","S1",45.69
"867","367","S1",45.4
"868","368","S1",45.79
"869","369","S1",46.62
"870","370","S1",46.05
"871","371","S1",45.05
"872","372","S1",45.6
"873","373","S1",45.99
"874","374","S1",45.94
"875","375","S1",46.44
"876","376","S1",45.81
"877","377","S1",45.35
"878","378","S1",46.01
"879","379","S1",45.93
"880","380","S1",46.06
"881","381","S1",46.6
"882","382","S1",45.61
"883","383","S1",46.1
"884","384","S1",45.67
"885","385","S1",45.99
"886","386","S1",46.34
"887","387","S1",45.92
"888","388","S1",45.91
"889","389","S1",46.73
"890","390","S1",45.6
"891","391","S1",45.7
"892","392","S1",45.48
"893","393","S1",46.32
"894","394","S1",45.45
"895","395","S1",46.98
"896","396","S1",45.92
"897","397","S1",45.6
"898","398","S1",45.72
"899","399","S1",45.94
"900","400","S1",45.59
"901","401","S1",46.01
"902","402","S1",46.04
"903","403","S1",45.66
"904","404","S1",45.61
"905","405","S1",46.32
"906","406","S1",45.49
"907","407","S1",45.84
"908","408","S1",45.81
"909","409","S1",46.37
"910","410","S1",47.11
"911","411","S1",44.93
"912","412","S1",44.93
"913","413","S1",45.82
"914","414","S1",45.57
"915","415","S1",45.48
"916","416","S1",45.95
"917","417","S1",45.12
"918","418","S1",46.51
"919","419","S1",45.52
"920","420","S1",45.6
"921","421","S1",45.88
"922","422","S1",46.16
"923","423","S1",45.92
"924","424","S1",44.8
"925","425","S1",45.2
"926","426","S1",46.07
"927","427","S1",45.51
"928","428","S1",46.17
"929","429","S1",46.37
"930","430","S1",45.88
"931","431","S1",46.2
"932","432","S1",46.37
"933","433","S1",45.4
"934","434","S1",46.42
"935","435","S1",46.14
"936","436","S1",45.17
"937","437","S1",46.22
"938","438","S1",45.8
"939","439","S1",46.71
"940","440","S1",45.91
"941","441","S1",46.65
"942","442","S1",46.83
"943","443","S1",45.16
"944","444","S1",45.73
"945","445","S1",45.96
"946","446","S1",45.92
"947","447","S1",45.01
"948","448","S1",45.74
"949","449","S1",46.1
"950","450","S1",46.91
"951","451","S1",45.49
"952","452","S1",45.48
"953","453","S1",45.58
"954","454","S1",45.56
"955","455","S1",45.85
"956","456","S1",45.65
"957","457","S1",45.34
"958","458","S1",45.65
"959","459","S1",45.69
"960","460","S1",46.3
"961","461","S1",45.56
"962","462","S1",45.82
"963","463","S1",46.06
"964","464","S1",46.19
"965","465","S1",46.18
"966","466","S1",46.67
"967","467","S1",45.86
"968","468","S1",46.08
"969","469","S1",47.2
"970","470","S1",45.84
"971","471","S1",45.57
"972","472","S1",46.52
"973","473","S1",46.24
"974","474","S1",46.59
"975","475","S1",46.01
"976","476","S1",45.32
"977","477","S1",45.21
"978","478","S1",46.31
"979","479","S1",45.62
"980","480","S1",46.53
"981","481","S1",46.09
"982","482","S1",46.99
"983","483","S1",45.93
"984","484","S1",46.26
"985","485","S1",45.69
"986","486","S1",45.42
"987","487","S1",46.91
"988","488","S1",46.46
"989","489","S1",45.26
"990","490","S1",45.81
"991","491","S1",46.86
"992","492","S1",45.97
"993","493","S1",45.9
"994","494","S1",45.53
"995","495","S1",46.02
"996","496","S1",45.45
"997","497","S1",46.23
"998","498","S1",45.92
"999","499","S1",46.25
"1000","500","S1",46.21
"1001","1","S2",45.71
"1002","2","S2",45.42
"1003","3","S2",46.31
"1004","4","S2",46.86
"1005","5","S2",45.85
"1006","6","S2",45.98
"1007","7","S2",45.86
"1008","8","S2",45.72
"1009","9","S2",45.5
"1010","10","S2",45.63
"1011","11","S2",44.96
"1012","12","S2",45.21
"1013","13","S2",44.91
"1014","14","S2",45.56
"1015","15","S2",45.49
"1016","16","S2",45.05
"1017","17","S2",45.92
"1018","18","S2",45.93
"1019","19","S2",45.79
"1020","20","S2",46.01
"1021","21","S2",45.12
"1022","22","S2",45.67
"1023","23","S2",44.94
"1024","24","S2",45.49
"1025","25","S2",46.41
"1026","26","S2",46.01
"1027","27","S2",46.38
"1028","28","S2",45.65
"1029","29","S2",45.48
"1030","30","S2",46.06
"1031","31","S2",45.98
"1032","32","S2",46.46
"1033","33","S2",45.39
"1034","34","S2",45.53
"1035","35","S2",45.78
"1036","36","S2",45.64
"1037","37","S2",45.7
"1038","38","S2",45.27
"1039","39","S2",46.05
"1040","40","S2",47.02
"1041","41","S2",46.78
"1042","42","S2",46.22
"1043","43","S2",46.06
"1044","44","S2",45.57
"1045","45","S2",46
"1046","46","S2",46.11
"1047","47","S2",45.76
"1048","48","S2",45.47
"1049","49","S2",45.64
"1050","50","S2",45.23
"1051","51","S2",46.16
"1052","52","S2",45.81
"1053","53","S2",46.43
"1054","54","S2",46.18
"1055","55","S2",45.61
"1056","56","S2",45.27
"1057","57","S2",46.09
"1058","58","S2",46.12
"1059","59","S2",45.92
"1060","60","S2",45.94
"1061","61","S2",45.92
"1062","62","S2",45.84
"1063","63","S2",45.92
"1064","64","S2",45.6
"1065","65","S2",45.97
"1066","66","S2",45.88
"1067","67","S2",46.06
"1068","68","S2",46.28
"1069","69","S2",45.83
"1070","70","S2",45.6
"1071","71","S2",45.67
"1072","72","S2",46.26
"1073","73","S2",46.36
"1074","74","S2",46.32
"1075","75","S2",46.18
