"","ID","Scenario","elec.share"
"237","237","Baseline",0.42
"238","238","Baseline",0.45
"239","239","Baseline",0.44
"240","240","Baseline",0.41
"241","241","Baseline",0.42
"242","242","Baseline",0.4
"243","243","Baseline",0.38
"244","244","Baseline",0.42
"245","245","Baseline",0.47
"246","246","Baseline",0.39
"247","247","Baseline",0.42
"248","248","Baseline",0.44
"249","249","Baseline",0.51
"250","250","Baseline",0.55
"251","251","Baseline",0.5
"252","252","Baseline",0.39
"253","253","Baseline",0.51
"254","254","Baseline",0.35
"255","255","Baseline",0.36
"256","256","Baseline",0.44
"257","257","Baseline",0.45
"258","258","Baseline",0.41
"259","259","Baseline",0.5
"260","260","Baseline",0.51
"261","261","Baseline",0.42
"262","262","Baseline",0.46
"263","263","Baseline",0.51
"264","264","Baseline",0.46
"265","265","Baseline",0.35
"266","266","Baseline",0.39
"267","267","Baseline",0.32
"268","268","Baseline",0.41
"269","269","Baseline",0.43
"270","270","Baseline",0.34
"271","271","Baseline",0.42
"272","272","Baseline",0.42
"273","273","Baseline",0.45
"274","274","Baseline",0.35
"275","275","Baseline",0.4
"276","276","Baseline",0.38
"277","277","Baseline",0.4
"278","278","Baseline",0.47
"279","279","Baseline",0.38
"280","280","Baseline",0.47
"281","281","Baseline",0.33
"282","282","Baseline",0.43
"283","283","Baseline",0.45
"284","284","Baseline",0.46
"285","285","Baseline",0.44
"286","286","Baseline",0.46
"287","287","Baseline",0.4
"288","288","Baseline",0.46
"289","289","Baseline",0.4
"290","290","Baseline",0.34
"291","291","Baseline",0.34
"292","292","Baseline",0.39
"293","293","Baseline",0.39
"294","294","Baseline",0.45
"295","295","Baseline",0.45
"296","296","Baseline",0.51
"297","297","Baseline",0.41
"298","298","Baseline",0.5
"299","299","Baseline",0.46
"300","300","Baseline",0.45
"301","301","Baseline",0.47
"302","302","Baseline",0.41
"303","303","Baseline",0.35
"304","304","Baseline",0.39
"305","305","Baseline",0.45
"306","306","Baseline",0.57
"307","307","Baseline",0.41
"308","308","Baseline",0.35
"309","309","Baseline",0.36
"310","310","Baseline",0.4
"311","311","Baseline",0.35
"312","312","Baseline",0.48
"313","313","Baseline",0.4
"314","314","Baseline",0.48
"315","315","Baseline",0.47
"316","316","Baseline",0.4
"317","317","Baseline",0.44
"318","318","Baseline",0.33
"319","319","Baseline",0.38
"320","320","Baseline",0.48
"321","321","Baseline",0.36
"322","322","Baseline",0.47
"323","323","Baseline",0.56
"324","324","Baseline",0.46
"325","325","Baseline",0.48
"326","326","Baseline",0.42
"327","327","Baseline",0.34
"328","328","Baseline",0.4
"329","329","Baseline",0.48
"330","330","Baseline",0.44
"331","331","Baseline",0.46
"332","332","Baseline",0.38
"333","333","Baseline",0.52
"334","334","Baseline",0.36
"335","335","Baseline",0.43
"336","336","Baseline",0.37
"337","337","Baseline",0.44
"338","338","Baseline",0.44
"339","339","Baseline",0.41
"340","340","Baseline",0.39
"341","341","Baseline",0.54
"342","342","Baseline",0.45
"343","343","Baseline",0.53
"344","344","Baseline",0.37
"345","345","Baseline",0.33
"346","346","Baseline",0.47
"347","347","Baseline",0.44
"348","348","Baseline",0.31
"349","349","Baseline",0.47
"350","350","Baseline",0.32
"351","351","Baseline",0.39
"352","352","Baseline",0.35
"353","353","Baseline",0.41
"354","354","Baseline",0.55
"355","355","Baseline",0.39
"356","356","Baseline",0.37
"357","357","Baseline",0.41
"358","358","Baseline",0.39
"359","359","Baseline",0.53
"360","360","Baseline",0.46
"361","361","Baseline",0.55
"362","362","Baseline",0.4
"363","363","Baseline",0.37
"364","364","Baseline",0.41
"365","365","Baseline",0.48
"366","366","Baseline",0.44
"367","367","Baseline",0.53
"368","368","Baseline",0.39
"369","369","Baseline",0.56
"370","370","Baseline",0.44
"371","371","Baseline",0.47
"372","372","Baseline",0.37
"373","373","Baseline",0.41
"374","374","Baseline",0.43
"375","375","Baseline",0.37
"376","376","Baseline",0.37
"377","377","Baseline",0.44
"378","378","Baseline",0.33
"379","379","Baseline",0.48
"380","380","Baseline",0.42
"381","381","Baseline",0.42
"382","382","Baseline",0.48
"383","383","Baseline",0.3
"384","384","Baseline",0.34
"385","385","Baseline",0.35
"386","386","Baseline",0.44
"387","387","Baseline",0.46
"388","388","Baseline",0.42
"389","389","Baseline",0.53
"390","390","Baseline",0.57
"391","391","Baseline",0.44
"392","392","Baseline",0.41
"393","393","Baseline",0.44
"394","394","Baseline",0.39
"395","395","Baseline",0.43
"396","396","Baseline",0.49
"397","397","Baseline",0.4
"398","398","Baseline",0.53
"399","399","Baseline",0.34
"400","400","Baseline",0.45
"401","401","Baseline",0.44
"402","402","Baseline",0.43
"403","403","Baseline",0.43
"404","404","Baseline",0.41
"405","405","Baseline",0.32
"406","406","Baseline",0.32
"407","407","Baseline",0.35
"408","408","Baseline",0.47
"409","409","Baseline",0.47
"410","410","Baseline",0.38
"411","411","Baseline",0.44
"412","412","Baseline",0.34
"413","413","Baseline",0.38
"414","414","Baseline",0.56
"415","415","Baseline",0.37
"416","416","Baseline",0.46
"417","417","Baseline",0.51
"418","418","Baseline",0.5
"419","419","Baseline",0.42
"420","420","Baseline",0.38
"421","421","Baseline",0.5
"422","422","Baseline",0.38
"423","423","Baseline",0.49
"424","424","Baseline",0.36
"425","425","Baseline",0.39
"426","426","Baseline",0.3
"427","427","Baseline",0.34
"428","428","Baseline",0.52
"429","429","Baseline",0.46
"430","430","Baseline",0.34
"431","431","Baseline",0.37
"432","432","Baseline",0.43
"433","433","Baseline",0.42
"434","434","Baseline",0.37
"435","435","Baseline",0.35
"436","436","Baseline",0.45
"437","437","Baseline",0.57
"438","438","Baseline",0.42
"439","439","Baseline",0.4
"440","440","Baseline",0.53
"441","441","Baseline",0.43
"442","442","Baseline",0.44
"443","443","Baseline",0.42
"444","444","Baseline",0.43
"445","445","Baseline",0.37
"446","446","Baseline",0.38
"447","447","Baseline",0.48
"448","448","Baseline",0.45
"449","449","Baseline",0.37
"450","450","Baseline",0.48
"451","451","Baseline",0.45
"452","452","Baseline",0.54
"453","453","Baseline",0.48
"454","454","Baseline",0.38
"455","455","Baseline",0.44
"456","456","Baseline",0.49
"457","457","Baseline",0.57
"458","458","Baseline",0.43
"459","459","Baseline",0.45
"460","460","Baseline",0.41
"461","461","Baseline",0.39
"462","462","Baseline",0.31
"463","463","Baseline",0.33
"464","464","Baseline",0.42
"465","465","Baseline",0.52
"466","466","Baseline",0.46
"467","467","Baseline",0.33
"468","468","Baseline",0.42
"469","469","Baseline",0.53
"470","470","Baseline",0.33
"471","471","Baseline",0.46
"472","472","Baseline",0.38
"473","473","Baseline",0.38
"474","474","Baseline",0.41
"475","475","Baseline",0.37
"476","476","Baseline",0.51
"477","477","Baseline",0.38
"478","478","Baseline",0.37
"479","479","Baseline",0.42
"480","480","Baseline",0.43
"481","481","Baseline",0.56
"482","482","Baseline",0.4
"483","483","Baseline",0.43
"484","484","Baseline",0.45
"485","485","Baseline",0.37
"486","486","Baseline",0.38
"487","487","Baseline",0.38
"488","488","Baseline",0.44
"489","489","Baseline",0.52
"490","490","Baseline",0.39
"491","491","Baseline",0.43
"492","492","Baseline",0.46
"493","493","Baseline",0.43
"494","494","Baseline",0.47
"495","495","Baseline",0.47
"496","496","Baseline",0.38
"497","497","Baseline",0.4
"498","498","Baseline",0.35
"499","499","Baseline",0.27
"500","500","Baseline",0.47
"501","1","S1",1.09
"502","2","S1",1.14
"503","3","S1",0.97
"504","4","S1",0.99
"505","5","S1",0.87
"506","6","S1",0.93
"507","7","S1",1
"508","8","S1",0.86
"509","9","S1",0.67
"510","10","S1",0.99
"511","11","S1",0.94
"512","12","S1",0.88
"513","13","S1",1.02
"514","14","S1",0.98
"515","15","S1",0.94
"516","16","S1",0.98
"517","17","S1",0.88
"518","18","S1",1.04
"519","19","S1",0.89
"520","20","S1",0.73
"521","21","S1",0.97
"522","22","S1",0.9
"523","23","S1",0.99
"524","24","S1",0.99
"525","25","S1",0.92
"526","26","S1",0.88
"527","27","S1",0.88
"528","28","S1",1
"529","29","S1",0.85
"530","30","S1",0.75
"531","31","S1",0.82
"532","32","S1",0.89
"533","33","S1",0.87
"534","34","S1",1.03
"535","35","S1",0.98
"536","36","S1",0.9
"537","37","S1",1.09
"538","38","S1",1.04
"539","39","S1",1.04
"540","40","S1",1.07
"541","41","S1",1
"542","42","S1",0.99
"543","43","S1",0.86
"544","44","S1",1.09
"545","45","S1",1.06
"546","46","S1",0.81
"547","47","S1",1
"548","48","S1",0.98
"549","49","S1",0.91
"550","50","S1",0.85
"551","51","S1",0.86
"552","52","S1",0.97
"553","53","S1",0.86
"554","54","S1",1.15
"555","55","S1",0.75
"556","56","S1",1.03
"557","57","S1",1.01
"558","58","S1",0.95
"559","59","S1",1.01
"560","60","S1",0.88
"561","61","S1",0.87
"562","62","S1",1
"563","63","S1",0.73
"564","64","S1",0.98
"565","65","S1",0.88
"566","66","S1",0.83
"567","67","S1",0.9
"568","68","S1",0.89
"569","69","S1",0.91
"570","70","S1",1.03
"571","71","S1",0.92
"572","72","S1",0.86
"573","73","S1",1.08
"574","74","S1",0.96
"575","75","S1",0.93
"576","76","S1",1.07
"577","77","S1",0.96
"578","78","S1",0.95
"579","79","S1",0.8
"580","80","S1",0.8
"581","81","S1",0.81
"582","82","S1",0.97
"583","83","S1",0.93
"584","84","S1",1.06
"585","85","S1",0.9
"586","86","S1",1.15
"587","87","S1",1.04
"588","88","S1",0.94
"589","89","S1",0.87
"590","90","S1",0.91
"591","91","S1",0.87
"592","92","S1",0.91
"593","93","S1",1.08
"594","94","S1",0.96
"595","95","S1",1
"596","96","S1",0.93
"597","97","S1",0.98
"598","98","S1",0.84
"599","99","S1",0.89
"600","100","S1",0.89
"601","101","S1",1.12
"602","102","S1",0.97
"603","103","S1",0.72
"604","104","S1",0.96
"605","105","S1",0.96
"606","106","S1",1.06
"607","107","S1",0.84
"608","108","S1",1.02
"609","109","S1",0.96
"610","110","S1",0.85
"611","111","S1",0.96
"612","112","S1",0.95
"613","113","S1",0.95
"614","114","S1",1.04
"615","115","S1",1.08
"616","116","S1",1
"617","117","S1",0.97
"618","118","S1",0.9
"619","119","S1",0.96
"620","120","S1",0.84
"621","121","S1",0.82
"622","122","S1",0.96
"623","123","S1",0.99
"624","124","S1",0.76
"625","125","S1",0.94
"626","126","S1",0.84
"627","127","S1",0.97
"628","128","S1",0.97
"629","129","S1",1.05
"630","130","S1",1.01
"631","131","S1",0.83
"632","132","S1",0.95
"633","133","S1",0.89
"634","134","S1",0.86
"635","135","S1",0.92
"636","136","S1",0.96
"637","137","S1",0.97
"638","138","S1",0.91
"639","139","S1",0.87
"640","140","S1",0.99
"641","141","S1",0.96
"642","142","S1",0.78
"643","143","S1",0.74
"644","144","S1",0.82
"645","145","S1",0.86
"646","146","S1",1.02
"647","147","S1",0.99
"648","148","S1",0.91
"649","149","S1",0.88
"650","150","S1",1.05
"651","151","S1",1
"652","152","S1",0.93
"653","153","S1",1.01
"654","154","S1",1
"655","155","S1",0.91
"656","156","S1",0.77
"657","157","S1",1.04
"658","158","S1",0.85
"659","159","S1",0.87
"660","160","S1",0.97
"661","161","S1",0.92
"662","162","S1",1.04
"663","163","S1",0.84
"664","164","S1",1.07
"665","165","S1",0.92
"666","166","S1",0.69
"667","167","S1",0.95
"668","168","S1",0.96
"669","169","S1",1.05
"670","170","S1",0.84
"671","171","S1",0.8
"672","172","S1",0.84
"673","173","S1",1.03
"674","174","S1",1.11
"675","175","S1",0.91
"676","176","S1",0.91
"677","177","S1",1.08
"678","178","S1",0.91
"679","179","S1",1.08
"680","180","S1",0.87
"681","181","S1",0.8
"682","182","S1",0.92
"683","183","S1",1.04
"684","184","S1",0.87
"685","185","S1",0.99
"686","186","S1",1.02
"687","187","S1",0.86
"688","188","S1",0.86
"689","189","S1",0.97
"690","190","S1",0.87
"691","191","S1",0.77
"692","192","S1",0.88
"693","193","S1",0.88
"694","194","S1",1
"695","195","S1",0.97
"696","196","S1",0.94
"697","197","S1",0.9
"698","198","S1",0.84
"699","199","S1",1.17
"700","200","S1",0.81
"701","201","S1",0.92
"702","202","S1",1.02
"703","203","S1",1.06
"704","204","S1",0.93
"705","205","S1",0.8
"706","206","S1",0.83
"707","207","S1",0.9
"708","208","S1",0.99
"709","209","S1",0.85
"710","210","S1",0.87
"711","211","S1",0.97
"712","212","S1",1.04
"713","213","S1",1.13
"714","214","S1",0.92
"715","215","S1",0.92
"716","216","S1",0.71
"717","217","S1",1
"718","218","S1",0.89
"719","219","S1",0.86
"720","220","S1",0.97
"721","221","S1",0.96
"722","222","S1",0.94
"723","223","S1",0.97
"724","224","S1",0.85
"725","225","S1",1.02
"726","226","S1",0.83
"727","227","S1",0.9
"728","228","S1",0.95
"729","229","S1",0.92
"730","230","S1",1.07
"731","231","S1",0.85
"732","232","S1",0.84
"733","233","S1",0.96
"734","234","S1",1.11
"735","235","S1",0.86
"736","236","S1",0.99
"737","237","S1",1.12
"738","238","S1",0.92
"739","239","S1",0.85
"740","240","S1",0.99
"741","241","S1",0.97
"742","242","S1",0.97
"743","243","S1",0.94
"744","244","S1",0.87
"745","245","S1",0.82
"746","246","S1",0.94
"747","247","S1",0.91
"748","248","S1",0.91
"749","249","S1",1.06
"750","250","S1",1
"751","251","S1",0.97
"752","252","S1",0.85
"753","253","S1",1.07
"754","254","S1",0.65
"755","255","S1",0.86
"756","256","S1",1.04
"757","257","S1",0.97
"758","258","S1",0.94
"759","259","S1",1
"760","260","S1",1.06
"761","261","S1",0.83
"762","262","S1",1
"763","263","S1",0.99
"764","264","S1",0.93
"765","265","S1",0.96
"766","266","S1",0.72
"767","267","S1",1.02
"768","268","S1",0.93
"769","269","S1",0.86
"770","270","S1",0.99
"771","271","S1",0.93
"772","272","S1",0.96
"773","273","S1",0.81
"774","274","S1",0.97
"775","275","S1",0.83
"776","276","S1",0.85
"777","277","S1",0.87
"778","278","S1",0.98
"779","279","S1",0.92
"780","280","S1",1.02
"781","281","S1",0.81
"782","282","S1",0.91
"783","283","S1",1.08
"784","284","S1",0.92
"785","285","S1",0.9
"786","286","S1",0.84
"787","287","S1",0.92
"788","288","S1",0.85
"789","289","S1",0.87
"790","290","S1",0.84
"791","291","S1",0.9
"792","292","S1",0.85
"793","293","S1",0.84
"794","294","S1",0.82
"795","295","S1",1
"796","296","S1",0.86
"797","297","S1",0.85
"798","298","S1",1.02
"799","299","S1",0.93
"800","300","S1",0.96
"801","301","S1",1.05
"802","302","S1",1.06
"803","303","S1",0.98
"804","304","S1",0.89
"805","305","S1",1.02
"806","306","S1",0.99
"807","307","S1",0.91
"808","308","S1",0.78
"809","309","S1",0.89
"810","310","S1",1.03
"811","311","S1",0.78
"812","312","S1",0.88
"813","313","S1",1.03
"814","314","S1",0.94
"815","315","S1",0.84
"816","316","S1",0.92
"817","317","S1",1.05
"818","318","S1",0.82
"819","319","S1",0.8
"820","320","S1",1.07
"821","321","S1",0.97
"822","322","S1",0.9
"823","323","S1",1.03
"824","324","S1",1.02
"825","325","S1",1.08
"826","326","S1",0.76
"827","327","S1",0.78
"828","328","S1",0.91
"829","329","S1",0.93
"830","330","S1",0.97
"831","331","S1",0.96
"832","332","S1",0.93
"833","333","S1",1.19
"834","334","S1",0.87
"835","335","S1",0.94
"836","336","S1",0.9
"837","337","S1",1.06
"838","338","S1",0.88
"839","339","S1",0.98
"840","340","S1",0.88
"841","341","S1",0.81
"842","342","S1",0.95
"843","343","S1",1.1
"844","344","S1",0.91
"845","345","S1",0.81
"846","346","S1",0.84
"847","347","S1",1.07
"848","348","S1",0.79
"849","349","S1",1.02
"850","350","S1",0.85
"851","351","S1",0.8
"852","352","S1",0.89
"853","353","S1",0.7
"854","354","S1",0.97
"855","355","S1",0.88
"856","356","S1",0.9
"857","357","S1",1.03
"858","358","S1",0.94
"859","359","S1",0.96
"860","360","S1",0.82
"861","361","S1",1.02
"862","362","S1",0.76
"863","363","S1",0.81
"864","364","S1",1
"865","365","S1",0.98
"866","366","S1",1.03
"867","367","S1",1.11
"868","368","S1",0.88
"869","369","S1",1.06
"870","370","S1",0.98
"871","371","S1",0.87
"872","372","S1",0.86
"873","373","S1",1.02
"874","374","S1",1.04
"875","375","S1",0.98
"876","376","S1",0.97
"877","377","S1",0.89
"878","378","S1",0.75
"879","379","S1",0.91
"880","380","S1",0.96
"881","381","S1",0.88
"882","382","S1",0.96
"883","383","S1",0.79
"884","384","S1",0.95
"885","385","S1",0.94
"886","386","S1",0.9
"887","387","S1",0.99
"888","388","S1",0.93
"889","389","S1",0.97
"890","390","S1",1.26
"891","391","S1",0.95
"892","392","S1",0.97
"893","393","S1",0.86
"894","394","S1",0.99
"895","395","S1",1.05
"896","396","S1",1.06
"897","397","S1",0.95
"898","398","S1",0.98
"899","399","S1",0.87
"900","400","S1",0.99
"901","401","S1",0.95
"902","402","S1",0.85
"903","403","S1",0.92
"904","404","S1",0.8
"905","405","S1",0.73
"906","406","S1",0.79
"907","407","S1",0.86
"908","408","S1",0.85
"909","409","S1",0.86
"910","410","S1",0.95
"911","411","S1",0.85
"912","412","S1",0.85
"913","413","S1",0.77
"914","414","S1",1.03
"915","415","S1",0.9
"916","416","S1",0.88
"917","417","S1",0.99
"918","418","S1",0.93
"919","419","S1",0.84
"920","420","S1",1.04
"921","421","S1",1.19
"922","422","S1",0.81
"923","423","S1",0.9
"924","424","S1",0.91
"925","425","S1",0.96
"926","426","S1",0.69
"927","427","S1",0.79
"928","428","S1",0.97
"929","429","S1",0.93
"930","430","S1",0.86
"931","431","S1",0.93
"932","432","S1",0.95
"933","433","S1",0.95
"934","434","S1",0.78
"935","435","S1",0.87
"936","436","S1",0.97
"937","437","S1",0.99
"938","438","S1",0.94
"939","439","S1",0.99
"940","440","S1",0.99
"941","441","S1",0.92
"942","442","S1",0.95
"943","443","S1",0.98
"944","444","S1",0.94
"945","445","S1",0.81
"946","446","S1",0.82
"947","447","S1",0.88
"948","448","S1",0.88
"949","449","S1",0.92
"950","450","S1",1.05
"951","451","S1",0.91
"952","452","S1",1.1
"953","453","S1",0.94
"954","454","S1",0.9
"955","455","S1",0.82
"956","456","S1",0.89
"957","457","S1",0.94
"958","458","S1",0.81
"959","459","S1",1.14
"960","460","S1",1.1
"961","461","S1",0.91
"962","462","S1",0.9
"963","463","S1",0.72
"964","464","S1",1
"965","465","S1",0.92
"966","466","S1",0.87
"967","467","S1",0.71
"968","468","S1",0.77
"969","469","S1",1.2
"970","470","S1",0.72
"971","471","S1",1.01
"972","472","S1",0.88
"973","473","S1",0.86
"974","474","S1",1.1
"975","475","S1",0.88
"976","476","S1",0.8
"977","477","S1",0.85
"978","478","S1",0.77
"979","479","S1",0.94
"980","480","S1",0.9
"981","481","S1",1.09
"982","482","S1",1.03
"983","483","S1",0.95
"984","484","S1",0.83
"985","485","S1",0.88
"986","486","S1",0.99
"987","487","S1",1.1
"988","488","S1",1
"989","489","S1",1.17
"990","490","S1",0.97
"991","491","S1",1.07
"992","492","S1",0.91
"993","493","S1",0.86
"994","494","S1",1.17
"995","495","S1",0.98
"996","496","S1",1.03
"997","497","S1",0.87
"998","498","S1",0.92
"999","499","S1",0.75
"1000","500","S1",1.01
"1001","1","S2",1.14
"1002","2","S2",1.2
"1003","3","S2",1.03
"1004","4","S2",1.06
"1005","5","S2",0.95
"1006","6","S2",0.96
"1007","7","S2",1.05
"1008","8","S2",0.91
"1009","9","S2",0.75
"1010","10","S2",1
"1011","11","S2",1.04
"1012","12","S2",0.91
"1013","13","S2",1.09
"1014","14","S2",1.04
"1015","15","S2",1.08
"1016","16","S2",1.02
"1017","17","S2",0.93
"1018","18","S2",1.13
"1019","19","S2",0.94
"1020","20","S2",0.8
"1021","21","S2",1.07
"1022","22","S2",0.93
"1023","23","S2",1.01
"1024","24","S2",0.99
"1025","25","S2",0.97
"1026","26","S2",0.95
"1027","27","S2",0.98
"1028","28","S2",1.02
"1029","29","S2",0.92
"1030","30","S2",0.83
"1031","31","S2",0.84
"1032","32","S2",0.98
"1033","33","S2",0.95
"1034","34","S2",1.1
"1035","35","S2",0.99
"1036","36","S2",0.97
"1037","37","S2",1.11
"1038","38","S2",1.04
"1039","39","S2",1.12
"1040","40","S2",1.03
"1041","41","S2",1.09
"1042","42","S2",1.08
"1043","43","S2",1.02
"1044","44","S2",1.09
"1045","45","S2",1.12
"1046","46","S2",0.84
"1047","47","S2",1.03
"1048","48","S2",1.03
"1049","49","S2",1.01
"1050","50","S2",0.93
"1051","51","S2",0.94
"1052","52","S2",1.01
"1053","53","S2",0.94
"1054","54","S2",1.21
"1055","55","S2",0.8
"1056","56","S2",1.09
"1057","57","S2",1.06
"1058","58","S2",1.05
"1059","59","S2",1.17
"1060","60","S2",0.99
"1061","61","S2",0.97
"1062","62","S2",1
"1063","63","S2",0.86
"1064","64","S2",1.07
"1065","65","S2",0.97
"1066","66","S2",0.85
"1067","67","S2",0.95
"1068","68","S2",1
"1069","69","S2",0.97
"1070","70","S2",1.11
"1071","71","S2",0.96
"1072","72","S2",0.9
"1073","73","S2",1.12
"1074","74","S2",1.03
"1075","75","S2",1.02
"1076","76","S2",1.2
"1077","77","S2",1.01
