"","ID","Scenario","CO2_emis"
"77","77","Baseline",20.18906323
"78","78","Baseline",20.040350915
"79","79","Baseline",20.27875176
"80","80","Baseline",20.07684544
"81","81","Baseline",20.031815755
"82","82","Baseline",20.09019349
"83","83","Baseline",20.279324445
"84","84","Baseline",20.00994021
"85","85","Baseline",20.200659645
"86","86","Baseline",20.318229065
"87","87","Baseline",20.302565455
"88","88","Baseline",20.08392717
"89","89","Baseline",20.2364176
"90","90","Baseline",20.308639785
"91","91","Baseline",20.303830545
"92","92","Baseline",20.08731802
"93","93","Baseline",20.22972423
"94","94","Baseline",20.166001435
"95","95","Baseline",20.25363757
"96","96","Baseline",20.08395199
"97","97","Baseline",20.28437422
"98","98","Baseline",20.318863435
"99","99","Baseline",20.47727234
"100","100","Baseline",20.379167275
"101","101","Baseline",20.123024145
"102","102","Baseline",20.373220695
"103","103","Baseline",20.37201948
"104","104","Baseline",20.040849505
"105","105","Baseline",20.01297993
"106","106","Baseline",20.35084218
"107","107","Baseline",20.175352005
"108","108","Baseline",20.34686587
"109","109","Baseline",20.249141865
"110","110","Baseline",20.05940939
"111","111","Baseline",20.277771735
"112","112","Baseline",20.334400025
"113","113","Baseline",20.55602766
"114","114","Baseline",20.307025025
"115","115","Baseline",20.445723565
"116","116","Baseline",20.07271437
"117","117","Baseline",20.240495745
"118","118","Baseline",20.128397675
"119","119","Baseline",20.230250925
"120","120","Baseline",20.12790018
"121","121","Baseline",20.345445655
"122","122","Baseline",20.162995295
"123","123","Baseline",20.211322025
"124","124","Baseline",20.1713089
"125","125","Baseline",20.437403025
"126","126","Baseline",20.57679324
"127","127","Baseline",20.498863185
"128","128","Baseline",20.264079125
"129","129","Baseline",20.15476856
"130","130","Baseline",20.280511425
"131","131","Baseline",20.185275625
"132","132","Baseline",20.27893937
"133","133","Baseline",20.29841577
"134","134","Baseline",20.13490307
"135","135","Baseline",20.21359634
"136","136","Baseline",20.11932779
"137","137","Baseline",20.189340995
"138","138","Baseline",20.31183974
"139","139","Baseline",20.25469753
"140","140","Baseline",20.19678955
"141","141","Baseline",20.14086717
"142","142","Baseline",20.172060435
"143","143","Baseline",20.177373375
"144","144","Baseline",20.53074411
"145","145","Baseline",20.3603059
"146","146","Baseline",20.246121125
"147","147","Baseline",20.36242874
"148","148","Baseline",20.312375925
"149","149","Baseline",20.282959115
"150","150","Baseline",20.44416757
"151","151","Baseline",20.441742875
"152","152","Baseline",19.94516439
"153","153","Baseline",20.472976655
"154","154","Baseline",20.13290068
"155","155","Baseline",20.327927845
"156","156","Baseline",20.291967315
"157","157","Baseline",20.417772595
"158","158","Baseline",20.290014565
"159","159","Baseline",20.1867995
"160","160","Baseline",20.337749265
"161","161","Baseline",20.4776315
"162","162","Baseline",20.18005284
"163","163","Baseline",20.261711735
"164","164","Baseline",20.26940995
"165","165","Baseline",20.135799145
"166","166","Baseline",20.358402425
"167","167","Baseline",20.0972431
"168","168","Baseline",20.37766895
"169","169","Baseline",20.52104022
"170","170","Baseline",20.31135137
"171","171","Baseline",19.89978467
"172","172","Baseline",20.329624365
"173","173","Baseline",20.57230739
"174","174","Baseline",20.2999057
"175","175","Baseline",20.262452685
"176","176","Baseline",20.220808375
"177","177","Baseline",20.516287555
"178","178","Baseline",20.23696802
"179","179","Baseline",20.214733315
"180","180","Baseline",20.197959375
"181","181","Baseline",20.348173665
"182","182","Baseline",20.27606317
"183","183","Baseline",20.281456775
"184","184","Baseline",20.38436305
"185","185","Baseline",20.224081695
"186","186","Baseline",20.121086725
"187","187","Baseline",20.1868141
"188","188","Baseline",20.096614935
"189","189","Baseline",20.091294695
"190","190","Baseline",20.08923573
"191","191","Baseline",20.32420448
"192","192","Baseline",20.245394045
"193","193","Baseline",20.222202675
"194","194","Baseline",20.36790228
"195","195","Baseline",20.41514934
"196","196","Baseline",20.029268055
"197","197","Baseline",20.236691715
"198","198","Baseline",20.243722345
"199","199","Baseline",20.37416787
"200","200","Baseline",20.248581955
"201","201","Baseline",20.377469295
"202","202","Baseline",20.183046935
"203","203","Baseline",20.29616007
"204","204","Baseline",20.2675959
"205","205","Baseline",20.24811877
"206","206","Baseline",20.392053235
"207","207","Baseline",20.261915405
"208","208","Baseline",20.30896792
"209","209","Baseline",20.31042792
"210","210","Baseline",20.16106189
"211","211","Baseline",20.18103469
"212","212","Baseline",20.122940925
"213","213","Baseline",20.00438637
"214","214","Baseline",20.28336536
"215","215","Baseline",20.46729032
"216","216","Baseline",20.30234536
"217","217","Baseline",20.254688405
"218","218","Baseline",20.599720715
"219","219","Baseline",20.35830789
"220","220","Baseline",20.29866762
"221","221","Baseline",20.16996643
"222","222","Baseline",20.033697695
"223","223","Baseline",20.050797215
"224","224","Baseline",20.25476615
"225","225","Baseline",20.12913826
"226","226","Baseline",20.19232852
"227","227","Baseline",20.03065104
"228","228","Baseline",20.361586685
"229","229","Baseline",20.28632186
"230","230","Baseline",20.22864967
"231","231","Baseline",20.201092535
"232","232","Baseline",20.08277596
"233","233","Baseline",20.28016431
"234","234","Baseline",20.13321458
"235","235","Baseline",20.082557325
"236","236","Baseline",20.509829245
"237","237","Baseline",20.31867692
"238","238","Baseline",20.226922855
"239","239","Baseline",20.1970049
"240","240","Baseline",20.05600029
"241","241","Baseline",20.337734665
"242","242","Baseline",20.35121959
"243","243","Baseline",19.860708135
"244","244","Baseline",20.29855374
"245","245","Baseline",20.298032155
"246","246","Baseline",20.362188205
"247","247","Baseline",20.328864435
"248","248","Baseline",20.321983455
"249","249","Baseline",20.332345805
"250","250","Baseline",20.10240493
"251","251","Baseline",20.057551905
"252","252","Baseline",20.26206688
"253","253","Baseline",20.218792845
"254","254","Baseline",20.192818715
"255","255","Baseline",20.48795589
"256","256","Baseline",20.17631086
"257","257","Baseline",20.201986785
"258","258","Baseline",20.25672109
"259","259","Baseline",20.159293465
"260","260","Baseline",20.217747485
"261","261","Baseline",20.00673478
"262","262","Baseline",20.3394571
"263","263","Baseline",19.94293351
"264","264","Baseline",20.2038888
"265","265","Baseline",20.623577845
"266","266","Baseline",20.3198201
"267","267","Baseline",20.27260662
"268","268","Baseline",20.283629985
"269","269","Baseline",20.274523235
"270","270","Baseline",20.50205949
"271","271","Baseline",20.34208437
"272","272","Baseline",20.1010537
"273","273","Baseline",20.06910671
"274","274","Baseline",20.080565885
"275","275","Baseline",20.318929865
"276","276","Baseline",20.30274832
"277","277","Baseline",20.220108305
"278","278","Baseline",20.378246745
"279","279","Baseline",20.24333289
"280","280","Baseline",19.985370235
"281","281","Baseline",20.307400245
"282","282","Baseline",20.283546035
"283","283","Baseline",20.123921315
"284","284","Baseline",20.29099605
"285","285","Baseline",20.329597355
"286","286","Baseline",20.22893948
"287","287","Baseline",20.428685365
"288","288","Baseline",20.24009607
"289","289","Baseline",20.241471025
"290","290","Baseline",20.420337815
"291","291","Baseline",20.46544488
"292","292","Baseline",20.513538375
"293","293","Baseline",20.18480441
"294","294","Baseline",20.100328445
"295","295","Baseline",20.0252578
"296","296","Baseline",20.10635861
"297","297","Baseline",20.355886845
"298","298","Baseline",20.36650871
"299","299","Baseline",20.310487415
"300","300","Baseline",20.241919975
"301","301","Baseline",20.31660445
"302","302","Baseline",20.37390726
"303","303","Baseline",20.32979263
"304","304","Baseline",20.05706974
"305","305","Baseline",20.160945455
"306","306","Baseline",20.103187855
"307","307","Baseline",20.11534637
"308","308","Baseline",20.070908715
"309","309","Baseline",20.14869058
"310","310","Baseline",20.343628685
"311","311","Baseline",20.183982065
"312","312","Baseline",20.234862335
"313","313","Baseline",19.9936926
"314","314","Baseline",20.314482705
"315","315","Baseline",20.46567118
"316","316","Baseline",20.390693245
"317","317","Baseline",20.26646586
"318","318","Baseline",20.27671506
"319","319","Baseline",20.194858335
"320","320","Baseline",20.30229864
"321","321","Baseline",20.324692485
"322","322","Baseline",20.2275408
"323","323","Baseline",20.088288555
"324","324","Baseline",20.19765752
"325","325","Baseline",20.123073055
"326","326","Baseline",20.05966708
"327","327","Baseline",20.510420545
"328","328","Baseline",20.331249345
"329","329","Baseline",20.36267621
"330","330","Baseline",20.290560605
"331","331","Baseline",20.31447723
"332","332","Baseline",20.152175965
"333","333","Baseline",20.13414387
"334","334","Baseline",20.17311711
"335","335","Baseline",20.263138155
"336","336","Baseline",20.28642771
"337","337","Baseline",20.0461869
"338","338","Baseline",20.23522332
"339","339","Baseline",20.373545545
"340","340","Baseline",20.30303375
"341","341","Baseline",19.95225853
"342","342","Baseline",20.335985585
"343","343","Baseline",20.196436595
"344","344","Baseline",20.224959885
"345","345","Baseline",20.10905596
"346","346","Baseline",19.890054135
"347","347","Baseline",20.28516773
"348","348","Baseline",20.374071145
"349","349","Baseline",20.29683094
"350","350","Baseline",20.19611941
"351","351","Baseline",20.11103572
"352","352","Baseline",20.34777034
"353","353","Baseline",20.44126801
"354","354","Baseline",20.28410047
"355","355","Baseline",20.126637645
"356","356","Baseline",20.074939045
"357","357","Baseline",20.29950858
"358","358","Baseline",20.217810995
"359","359","Baseline",20.09131623
"360","360","Baseline",20.43635438
"361","361","Baseline",20.2181603
"362","362","Baseline",20.025745075
"363","363","Baseline",20.287010615
"364","364","Baseline",20.155466805
"365","365","Baseline",20.527003225
"366","366","Baseline",20.24369205
"367","367","Baseline",20.195633595
"368","368","Baseline",20.34497444
"369","369","Baseline",20.21605717
"370","370","Baseline",20.408589925
"371","371","Baseline",19.963016905
"372","372","Baseline",20.298427815
"373","373","Baseline",20.123485505
"374","374","Baseline",20.111014915
"375","375","Baseline",20.40205752
"376","376","Baseline",20.20117977
"377","377","Baseline",20.003372765
"378","378","Baseline",20.253301405
"379","379","Baseline",19.926909645
"380","380","Baseline",20.020439435
"381","381","Baseline",20.196089115
"382","382","Baseline",20.285792245
"383","383","Baseline",20.35408265
"384","384","Baseline",20.10152674
"385","385","Baseline",20.35119258
"386","386","Baseline",20.358326505
"387","387","Baseline",20.04784984
"388","388","Baseline",20.428399205
"389","389","Baseline",20.365673955
"390","390","Baseline",20.04544011
"391","391","Baseline",20.004091815
"392","392","Baseline",20.21416063
"393","393","Baseline",20.23720089
"394","394","Baseline",20.141189465
"395","395","Baseline",20.506948665
"396","396","Baseline",20.315884305
"397","397","Baseline",20.407150365
"398","398","Baseline",20.214870555
"399","399","Baseline",20.382905605
"400","400","Baseline",20.292019875
"401","401","Baseline",20.225903775
"402","402","Baseline",20.319223325
"403","403","Baseline",20.18310351
"404","404","Baseline",20.198798875
"405","405","Baseline",20.17134759
"406","406","Baseline",20.570755045
"407","407","Baseline",20.19663771
"408","408","Baseline",20.208140685
"409","409","Baseline",20.123199345
"410","410","Baseline",20.33122343
"411","411","Baseline",20.137376675
"412","412","Baseline",20.23874776
"413","413","Baseline",20.21857129
"414","414","Baseline",20.08117799
"415","415","Baseline",20.4849242
"416","416","Baseline",20.313267985
"417","417","Baseline",20.174178895
"418","418","Baseline",20.109276055
"419","419","Baseline",20.376694765
"420","420","Baseline",20.389114255
"421","421","Baseline",20.19618365
"422","422","Baseline",20.276870185
"423","423","Baseline",20.272468285
"424","424","Baseline",20.1047037
"425","425","Baseline",20.432682115
"426","426","Baseline",20.416163675
"427","427","Baseline",20.153198695
"428","428","Baseline",20.20681829
"429","429","Baseline",20.36661383
"430","430","Baseline",19.99269907
"431","431","Baseline",20.33888405
"432","432","Baseline",20.159113155
"433","433","Baseline",20.14912931
"434","434","Baseline",20.235676285
"435","435","Baseline",20.46416081
"436","436","Baseline",20.06217536
"437","437","Baseline",20.18946327
"438","438","Baseline",20.23494957
"439","439","Baseline",20.263293645
"440","440","Baseline",20.330322245
"441","441","Baseline",20.340033435
"442","442","Baseline",20.412107795
"443","443","Baseline",20.2915107
"444","444","Baseline",20.176851425
"445","445","Baseline",20.29647689
"446","446","Baseline",20.27611646
"447","447","Baseline",20.1722944
"448","448","Baseline",20.30101238
"449","449","Baseline",20.283835845
"450","450","Baseline",20.2714722
"451","451","Baseline",20.195957715
"452","452","Baseline",20.00386077
"453","453","Baseline",20.33621298
"454","454","Baseline",20.19623037
"455","455","Baseline",20.059215575
"456","456","Baseline",20.029489975
"457","457","Baseline",20.054929745
"458","458","Baseline",20.02723172
"459","459","Baseline",20.188740935
"460","460","Baseline",20.230701335
"461","461","Baseline",20.20544735
"462","462","Baseline",20.46728959
"463","463","Baseline",20.178581525
"464","464","Baseline",20.172764885
"465","465","Baseline",20.36621598
"466","466","Baseline",20.61379621
"467","467","Baseline",20.320624925
"468","468","Baseline",20.396804805
"469","469","Baseline",20.552959105
"470","470","Baseline",20.290164945
"471","471","Baseline",20.21129976
"472","472","Baseline",20.2578796
"473","473","Baseline",20.379393575
"474","474","Baseline",20.408323475
"475","475","Baseline",20.35262411
"476","476","Baseline",20.178742125
"477","477","Baseline",20.22297465
"478","478","Baseline",20.25681818
"479","479","Baseline",20.26391378
"480","480","Baseline",20.007268775
"481","481","Baseline",20.39685846
"482","482","Baseline",20.34083534
"483","483","Baseline",20.318437845
"484","484","Baseline",20.24407311
"485","485","Baseline",20.32181592
"486","486","Baseline",20.27397099
"487","487","Baseline",20.290923415
"488","488","Baseline",20.36717593
"489","489","Baseline",20.03909933
"490","490","Baseline",20.27455426
"491","491","Baseline",20.31713443
"492","492","Baseline",20.15695783
"493","493","Baseline",20.26100984
"494","494","Baseline",20.260173625
"495","495","Baseline",20.42140909
"496","496","Baseline",20.16582587
"497","497","Baseline",20.36618824
"498","498","Baseline",20.28312738
"499","499","Baseline",20.411534745
"500","500","Baseline",20.277993655
"501","1","S1",20.412532655
"502","2","S1",20.177410605
"503","3","S1",20.480995705
"504","4","S1",20.5497774
"505","5","S1",20.367739855
"506","6","S1",20.301920135
"507","7","S1",20.46606246
"508","8","S1",20.30576103
"509","9","S1",20.253652535
"510","10","S1",20.224643065
"511","11","S1",20.201975835
"512","12","S1",20.416079725
"513","13","S1",20.26744041
"514","14","S1",20.02801063
"515","15","S1",20.34998078
"516","16","S1",20.188340895
"517","17","S1",20.20462829
"518","18","S1",20.492031845
"519","19","S1",20.305993535
"520","20","S1",20.51636457
"521","21","S1",20.27343517
"522","22","S1",20.406791205
"523","23","S1",20.206521545
"524","24","S1",20.46719323
"525","25","S1",20.72479198
"526","26","S1",20.436121875
"527","27","S1",20.35239781
"528","28","S1",20.40965317
"529","29","S1",20.470961855
"530","30","S1",20.448876435
"531","31","S1",20.432843445
"532","32","S1",20.57776925
"533","33","S1",20.198454315
"534","34","S1",20.29411315
"535","35","S1",20.465492695
"536","36","S1",20.514677905
"537","37","S1",20.26251145
"538","38","S1",20.409303865
"539","39","S1",20.259815925
"540","40","S1",20.530324725
"541","41","S1",20.484463935
"542","42","S1",20.240332955
"543","43","S1",20.43467465
"544","44","S1",20.441249395
"545","45","S1",20.159324125
"546","46","S1",20.407040865
"547","47","S1",20.3425815
"548","48","S1",20.54941897
"549","49","S1",20.37110917
"550","50","S1",20.38428932
"551","51","S1",20.49879931
"552","52","S1",20.31598103
"553","53","S1",20.35617848
"554","54","S1",20.428739385
"555","55","S1",20.248506035
"556","56","S1",20.430298665
"557","57","S1",20.38237307
"558","58","S1",20.35337528
"559","59","S1",20.239283215
"560","60","S1",20.420545135
"561","61","S1",20.250593105
"562","62","S1",20.259518085
"563","63","S1",20.475083435
"564","64","S1",20.515571425
"565","65","S1",20.36837313
"566","66","S1",20.26700241
"567","67","S1",20.343576125
"568","68","S1",20.41955927
"569","69","S1",20.404169045
"570","70","S1",20.441453065
"571","71","S1",20.082999705
"572","72","S1",20.390386645
"573","73","S1",20.50319975
"574","74","S1",20.38349654
"575","75","S1",20.282645215
"576","76","S1",20.24811074
"577","77","S1",20.187194065
"578","78","S1",20.21903703
"579","79","S1",20.41915339
"580","80","S1",20.322474745
"581","81","S1",20.161720715
"582","82","S1",20.386803075
"583","83","S1",20.383272065
"584","84","S1",20.08100936
"585","85","S1",20.38273807
"586","86","S1",20.415373815
"587","87","S1",20.52856433
"588","88","S1",20.270308215
"589","89","S1",20.59616233
"590","90","S1",20.444993565
"591","91","S1",20.49060214
"592","92","S1",20.254935145
"593","93","S1",20.391715975
"594","94","S1",20.30274248
"595","95","S1",20.226461495
"596","96","S1",20.320870935
"597","97","S1",20.360090915
"598","98","S1",20.421066355
"599","99","S1",20.65233802
"600","100","S1",20.47970835
"601","101","S1",20.31470499
"602","102","S1",20.556871905
"603","103","S1",20.49524567
"604","104","S1",20.25921915
"605","105","S1",20.087806755
"606","106","S1",20.32290289
"607","107","S1",20.20031472
"608","108","S1",20.40885893
"609","109","S1",20.29773176
"610","110","S1",20.15161934
"611","111","S1",20.344828805
"612","112","S1",20.391256075
"613","113","S1",20.660204135
"614","114","S1",20.371035075
"615","115","S1",20.625947425
"616","116","S1",20.2699465
"617","117","S1",20.517332185
"618","118","S1",20.351776215
"619","119","S1",20.513372665
"620","120","S1",20.209621855
"621","121","S1",20.51526884
"622","122","S1",20.25205055
"623","123","S1",20.298595715
"624","124","S1",20.57735826
"625","125","S1",20.366594485
"626","126","S1",20.7094065
"627","127","S1",20.4228888
"628","128","S1",20.27045458
"629","129","S1",20.00222411
"630","130","S1",20.283035035
"631","131","S1",20.35532803
"632","132","S1",20.417663095
"633","133","S1",20.50788708
"634","134","S1",20.21540236
"635","135","S1",20.251965505
"636","136","S1",20.141743535
"637","137","S1",20.297821915
"638","138","S1",20.35021438
"639","139","S1",20.563331675
"640","140","S1",20.29251737
"641","141","S1",20.269230005
"642","142","S1",20.400344575
"643","143","S1",20.350934525
"644","144","S1",20.618498505
"645","145","S1",20.59007194
"646","146","S1",20.18177418
"647","147","S1",20.467284115
"648","148","S1",20.45681774
"649","149","S1",20.50085061
"650","150","S1",20.53873688
"651","151","S1",20.484472695
"652","152","S1",19.976432845
"653","153","S1",20.5824814
"654","154","S1",20.2166346
"655","155","S1",20.45409995
"656","156","S1",20.41428429
"657","157","S1",20.33625532
"658","158","S1",20.368845805
"659","159","S1",20.424733145
"660","160","S1",20.424325075
"661","161","S1",20.6910762
"662","162","S1",20.39550504
"663","163","S1",20.426624575
"664","164","S1",20.30529091
"665","165","S1",20.173016005
"666","166","S1",20.40632875
"667","167","S1",20.32294742
"668","168","S1",20.4206185
"669","169","S1",20.51691061
"670","170","S1",20.37782225
"671","171","S1",20.0673058
"672","172","S1",20.32929769
"673","173","S1",20.57460105
"674","174","S1",20.396764655
"675","175","S1",20.3554952
"676","176","S1",20.26009223
"677","177","S1",20.463745805
"678","178","S1",20.532702335
"679","179","S1",20.3628098
"680","180","S1",20.32792675
"681","181","S1",20.54543901
"682","182","S1",20.209399935
"683","183","S1",20.414555485
"684","184","S1",20.411760315
"685","185","S1",20.489312595
"686","186","S1",20.18936837
"687","187","S1",20.328731575
"688","188","S1",20.197348365
"689","189","S1",20.25714522
"690","190","S1",20.121102785
"691","191","S1",20.45570814
"692","192","S1",20.229826795
"693","193","S1",20.367571955
"694","194","S1",20.233757115
"695","195","S1",20.52586625
"696","196","S1",20.293790855
"697","197","S1",20.356114605
"698","198","S1",20.33639548
"699","199","S1",20.359259445
"700","200","S1",20.317253055
"701","201","S1",20.36806288
"702","202","S1",20.24514183
"703","203","S1",20.42115213
"704","204","S1",20.378410265
"705","205","S1",20.30118831
"706","206","S1",20.471943705
"707","207","S1",20.536591775
"708","208","S1",20.46610918
"709","209","S1",20.308059435
"710","210","S1",20.20044904
"711","211","S1",20.294101105
"712","212","S1",20.27971755
"713","213","S1",20.12070092
"714","214","S1",20.431337455
"715","215","S1",20.620009605
"716","216","S1",20.402742625
"717","217","S1",20.47900609
"718","218","S1",20.71076284
"719","219","S1",20.430742505
"720","220","S1",20.417037485
"721","221","S1",20.25954254
"722","222","S1",20.173637965
"723","223","S1",20.10113108
"724","224","S1",20.50714759
"725","225","S1",20.384946685
"726","226","S1",20.44416611
"727","227","S1",20.11982565
"728","228","S1",20.48947721
"729","229","S1",20.262220545
"730","230","S1",20.28152941
"731","231","S1",20.326732835
"732","232","S1",20.161329435
"733","233","S1",20.41597424
"734","234","S1",20.3351574
"735","235","S1",20.248969585
"736","236","S1",20.443371505
"737","237","S1",20.483241185
"738","238","S1",20.385503675
"739","239","S1",20.346509995
"740","240","S1",20.21591701
"741","241","S1",20.531062755
"742","242","S1",20.52115556
"743","243","S1",20.031650775
"744","244","S1",20.35449072
"745","245","S1",20.435002055
"746","246","S1",20.54115829
"747","247","S1",20.403847115
"748","248","S1",20.58768484
"749","249","S1",20.19902992
"750","250","S1",20.30194386
"751","251","S1",20.2690778
"752","252","S1",20.356659185
"753","253","S1",20.39662705
"754","254","S1",20.499121605
"755","255","S1",20.547465125
"756","256","S1",20.20234704
"757","257","S1",20.36761393
"758","258","S1",20.398802815
"759","259","S1",20.27695012
"760","260","S1",20.21629734
"761","261","S1",20.211439555
"762","262","S1",20.34337063
"763","263","S1",20.10886032
"764","264","S1",20.389483635
"765","265","S1",20.51506371
"766","266","S1",20.578662405
"767","267","S1",20.508940835
"768","268","S1",20.47357927
"769","269","S1",20.318229795
"770","270","S1",20.57559531
"771","271","S1",20.53226324
"772","272","S1",20.25956225
"773","273","S1",20.17391938
"774","274","S1",20.093459145
"775","275","S1",20.530047325
"776","276","S1",20.481612555
"777","277","S1",20.376257495
"778","278","S1",20.38080868
"779","279","S1",20.321411135
"780","280","S1",19.98829133
"781","281","S1",20.395774045
"782","282","S1",20.447281385
"783","283","S1",20.176324
"784","284","S1",20.460333785
"785","285","S1",20.422243845
"786","286","S1",20.387052735
"787","287","S1",20.52830883
"788","288","S1",20.422024845
"789","289","S1",20.54377096
"790","290","S1",20.428434975
"791","291","S1",20.520367525
"792","292","S1",20.665448455
"793","293","S1",20.31346618
"794","294","S1",20.149017985
"795","295","S1",20.26282243
"796","296","S1",20.21641633
"797","297","S1",20.236181445
"798","298","S1",20.495297865
"799","299","S1",20.43197365
"800","300","S1",20.286913525
"801","301","S1",20.377233505
"802","302","S1",20.36155639
"803","303","S1",20.490874065
"804","304","S1",20.23648695
"805","305","S1",20.184904785
"806","306","S1",20.21852384
"807","307","S1",20.27519739
"808","308","S1",20.14294402
"809","309","S1",20.285625075
"810","310","S1",20.395369625
"811","311","S1",20.30879783
"812","312","S1",20.476413495
"813","313","S1",20.15803458
"814","314","S1",20.36965355
"815","315","S1",20.570712705
"816","316","S1",20.46049183
"817","317","S1",20.4616883
"818","318","S1",20.37197203
"819","319","S1",20.354744395
"820","320","S1",20.37416276
"821","321","S1",20.531597115
"822","322","S1",20.35912841
"823","323","S1",20.279555125
"824","324","S1",20.328989265
"825","325","S1",20.418789485
"826","326","S1",20.03945703
"827","327","S1",20.470488815
"828","328","S1",20.455368325
"829","329","S1",20.33853438
"830","330","S1",20.33892566
"831","331","S1",20.43336211
"832","332","S1",20.380457915
"833","333","S1",20.221415735
"834","334","S1",20.307454995
"835","335","S1",20.389266825
"836","336","S1",20.32130127
"837","337","S1",20.23372171
"838","338","S1",20.356476685
"839","339","S1",20.53200628
"840","340","S1",20.305521225
"841","341","S1",20.16026911
"842","342","S1",20.51792604
"843","343","S1",20.408914045
"844","344","S1",20.374819395
"845","345","S1",20.258266135
"846","346","S1",20.04993764
"847","347","S1",20.414646735
"848","348","S1",20.289114475
"849","349","S1",20.47426109
"850","350","S1",20.329840445
"851","351","S1",20.17838406
"852","352","S1",20.173856965
"853","353","S1",20.69829882
"854","354","S1",20.33324772
"855","355","S1",20.307887885
"856","356","S1",20.077857585
"857","357","S1",20.503133685
"858","358","S1",20.291121245
"859","359","S1",20.29411461
"860","360","S1",20.559304995
"861","361","S1",20.309704125
"862","362","S1",20.15642347
"863","363","S1",20.43437608
"864","364","S1",20.217157645
"865","365","S1",20.558596165
"866","366","S1",20.271438985
"867","367","S1",20.264695245
"868","368","S1",20.35926711
"869","369","S1",20.350795825
"870","370","S1",20.490993055
"871","371","S1",20.251358875
"872","372","S1",20.4546
"873","373","S1",20.213578455
"874","374","S1",20.22344842
"875","375","S1",20.485248685
"876","376","S1",20.31120902
"877","377","S1",20.125081285
"878","378","S1",20.4206331
"879","379","S1",20.24671352
"880","380","S1",20.33828253
"881","381","S1",20.36728324
"882","382","S1",20.367562465
"883","383","S1",20.458707345
"884","384","S1",20.198457235
"885","385","S1",20.420370665
"886","386","S1",20.5005462
"887","387","S1",20.021619845
"888","388","S1",20.500819585
"889","389","S1",20.47631093
"890","390","S1",20.014103035
"891","391","S1",20.167067965
"892","392","S1",20.266923205
"893","393","S1",20.2728519
"894","394","S1",20.13440375
"895","395","S1",20.66733003
"896","396","S1",20.43907582
"897","397","S1",20.39780381
"898","398","S1",20.437150445
"899","399","S1",20.373710525
"900","400","S1",20.28982586
"901","401","S1",20.322682065
"902","402","S1",20.563178375
"903","403","S1",20.25551513
"904","404","S1",20.38268405
"905","405","S1",20.257274795
"906","406","S1",20.525201585
"907","407","S1",20.30333086
"908","408","S1",20.435972225
"909","409","S1",20.412433375
"910","410","S1",20.407077365
"911","411","S1",20.21356276
"912","412","S1",20.28818409
"913","413","S1",20.35138311
"914","414","S1",20.214861065
"915","415","S1",20.40371535
"916","416","S1",20.415159195
"917","417","S1",20.29047337
"918","418","S1",20.295312905
"919","419","S1",20.46670632
"920","420","S1",20.294490925
"921","421","S1",20.250041225
"922","422","S1",20.39953026
"923","423","S1",20.32805523
"924","424","S1",20.21369489
"925","425","S1",20.451655545
"926","426","S1",20.430198655
