"","ID","Scenario","car.share"
"174","174","Baseline",41.39
"175","175","Baseline",42.68
"176","176","Baseline",42.77
"177","177","Baseline",41.56
"178","178","Baseline",43.17
"179","179","Baseline",42.01
"180","180","Baseline",42.51
"181","181","Baseline",42.63
"182","182","Baseline",41.74
"183","183","Baseline",43.06
"184","184","Baseline",42.94
"185","185","Baseline",43.12
"186","186","Baseline",44.04
"187","187","Baseline",42.79
"188","188","Baseline",43.07
"189","189","Baseline",42.51
"190","190","Baseline",42.55
"191","191","Baseline",42.75
"192","192","Baseline",43.02
"193","193","Baseline",43.39
"194","194","Baseline",42.94
"195","195","Baseline",42.2
"196","196","Baseline",42.5
"197","197","Baseline",41.87
"198","198","Baseline",43.06
"199","199","Baseline",43.66
"200","200","Baseline",41.84
"201","201","Baseline",42.31
"202","202","Baseline",41.61
"203","203","Baseline",43.07
"204","204","Baseline",42.96
"205","205","Baseline",41.77
"206","206","Baseline",42.94
"207","207","Baseline",42.47
"208","208","Baseline",42.84
"209","209","Baseline",42.09
"210","210","Baseline",42.03
"211","211","Baseline",43.19
"212","212","Baseline",41.89
"213","213","Baseline",43.06
"214","214","Baseline",42.4
"215","215","Baseline",43.15
"216","216","Baseline",42.83
"217","217","Baseline",43.1
"218","218","Baseline",42.11
"219","219","Baseline",42.35
"220","220","Baseline",42.76
"221","221","Baseline",42.65
"222","222","Baseline",42.51
"223","223","Baseline",42.82
"224","224","Baseline",41.9
"225","225","Baseline",41.77
"226","226","Baseline",42.71
"227","227","Baseline",42.19
"228","228","Baseline",43.09
"229","229","Baseline",42.6
"230","230","Baseline",42.51
"231","231","Baseline",42.83
"232","232","Baseline",43.58
"233","233","Baseline",43.35
"234","234","Baseline",42.5
"235","235","Baseline",42.9
"236","236","Baseline",42.01
"237","237","Baseline",43.55
"238","238","Baseline",42.92
"239","239","Baseline",42.58
"240","240","Baseline",43.22
"241","241","Baseline",42.51
"242","242","Baseline",42.79
"243","243","Baseline",43.19
"244","244","Baseline",43.44
"245","245","Baseline",42.54
"246","246","Baseline",42.73
"247","247","Baseline",43.04
"248","248","Baseline",42.96
"249","249","Baseline",42
"250","250","Baseline",42.46
"251","251","Baseline",43.56
"252","252","Baseline",42.63
"253","253","Baseline",42.32
"254","254","Baseline",43.37
"255","255","Baseline",43.01
"256","256","Baseline",42.77
"257","257","Baseline",42.5
"258","258","Baseline",43.51
"259","259","Baseline",42.98
"260","260","Baseline",42.37
"261","261","Baseline",43.89
"262","262","Baseline",43.03
"263","263","Baseline",42.95
"264","264","Baseline",42.68
"265","265","Baseline",41.85
"266","266","Baseline",42.81
"267","267","Baseline",43.5
"268","268","Baseline",42.33
"269","269","Baseline",41.95
"270","270","Baseline",42.28
"271","271","Baseline",42.65
"272","272","Baseline",43.04
"273","273","Baseline",42.47
"274","274","Baseline",42.88
"275","275","Baseline",43.22
"276","276","Baseline",43.38
"277","277","Baseline",42.7
"278","278","Baseline",43.05
"279","279","Baseline",41.78
"280","280","Baseline",43.01
"281","281","Baseline",42.4
"282","282","Baseline",42.4
"283","283","Baseline",42.9
"284","284","Baseline",42.63
"285","285","Baseline",42.59
"286","286","Baseline",43.35
"287","287","Baseline",42.83
"288","288","Baseline",42.32
"289","289","Baseline",41.6
"290","290","Baseline",42.73
"291","291","Baseline",42.85
"292","292","Baseline",43.1
"293","293","Baseline",42.67
"294","294","Baseline",42.86
"295","295","Baseline",42.9
"296","296","Baseline",41.96
"297","297","Baseline",42.71
"298","298","Baseline",42.54
"299","299","Baseline",42.11
"300","300","Baseline",42.9
"301","301","Baseline",42.42
"302","302","Baseline",43.03
"303","303","Baseline",42.88
"304","304","Baseline",42.28
"305","305","Baseline",42.62
"306","306","Baseline",42.4
"307","307","Baseline",42.6
"308","308","Baseline",42.31
"309","309","Baseline",43.02
"310","310","Baseline",41.84
"311","311","Baseline",41.79
"312","312","Baseline",42.98
"313","313","Baseline",42.65
"314","314","Baseline",42.67
"315","315","Baseline",42.83
"316","316","Baseline",42.86
"317","317","Baseline",42.91
"318","318","Baseline",42.96
"319","319","Baseline",43.6
"320","320","Baseline",42.34
"321","321","Baseline",42.83
"322","322","Baseline",42.44
"323","323","Baseline",42.83
"324","324","Baseline",42.76
"325","325","Baseline",42.41
"326","326","Baseline",43.7
"327","327","Baseline",42.41
"328","328","Baseline",42.59
"329","329","Baseline",42.83
"330","330","Baseline",42.39
"331","331","Baseline",42.13
"332","332","Baseline",41.97
"333","333","Baseline",43.09
"334","334","Baseline",42.07
"335","335","Baseline",42.63
"336","336","Baseline",42.43
"337","337","Baseline",42.15
"338","338","Baseline",41.95
"339","339","Baseline",43.22
"340","340","Baseline",42.54
"341","341","Baseline",42.68
"342","342","Baseline",43.25
"343","343","Baseline",42.84
"344","344","Baseline",42.66
"345","345","Baseline",43.07
"346","346","Baseline",42.52
"347","347","Baseline",42.31
"348","348","Baseline",42.98
"349","349","Baseline",42.5
"350","350","Baseline",42.94
"351","351","Baseline",42.92
"352","352","Baseline",42.65
"353","353","Baseline",42.67
"354","354","Baseline",43.19
"355","355","Baseline",42.79
"356","356","Baseline",42.83
"357","357","Baseline",42.45
"358","358","Baseline",42.28
"359","359","Baseline",43.34
"360","360","Baseline",42.4
"361","361","Baseline",42.72
"362","362","Baseline",42.48
"363","363","Baseline",42.36
"364","364","Baseline",42.81
"365","365","Baseline",43.22
"366","366","Baseline",42.51
"367","367","Baseline",42.03
"368","368","Baseline",42.34
"369","369","Baseline",41.74
"370","370","Baseline",42.62
"371","371","Baseline",43.09
"372","372","Baseline",43.18
"373","373","Baseline",42.19
"374","374","Baseline",42.58
"375","375","Baseline",42.32
"376","376","Baseline",42.95
"377","377","Baseline",42.77
"378","378","Baseline",42.51
"379","379","Baseline",43.59
"380","380","Baseline",42.42
"381","381","Baseline",42.03
"382","382","Baseline",42.36
"383","383","Baseline",43.08
"384","384","Baseline",42.79
"385","385","Baseline",43.05
"386","386","Baseline",42.12
"387","387","Baseline",42.37
"388","388","Baseline",42.35
"389","389","Baseline",41.89
"390","390","Baseline",42.05
"391","391","Baseline",42.01
"392","392","Baseline",43.31
"393","393","Baseline",42.05
"394","394","Baseline",43.06
"395","395","Baseline",42.12
"396","396","Baseline",43.05
"397","397","Baseline",42.88
"398","398","Baseline",43.08
"399","399","Baseline",42.39
"400","400","Baseline",42.03
"401","401","Baseline",43.08
"402","402","Baseline",43.28
"403","403","Baseline",43.31
"404","404","Baseline",43.47
"405","405","Baseline",42.05
"406","406","Baseline",43.02
"407","407","Baseline",42.5
"408","408","Baseline",43.1
"409","409","Baseline",41.79
"410","410","Baseline",41.29
"411","411","Baseline",43.6
"412","412","Baseline",42.67
"413","413","Baseline",42.73
"414","414","Baseline",42.73
"415","415","Baseline",42.56
"416","416","Baseline",42.83
"417","417","Baseline",43.23
"418","418","Baseline",42
"419","419","Baseline",43.21
"420","420","Baseline",43.19
"421","421","Baseline",42.49
"422","422","Baseline",42.18
"423","423","Baseline",42.47
"424","424","Baseline",43.1
"425","425","Baseline",43.41
"426","426","Baseline",42.36
"427","427","Baseline",43.22
"428","428","Baseline",42.45
"429","429","Baseline",42.36
"430","430","Baseline",42.42
"431","431","Baseline",42.55
"432","432","Baseline",43.07
"433","433","Baseline",42.9
"434","434","Baseline",42.46
"435","435","Baseline",42.1
"436","436","Baseline",42.68
"437","437","Baseline",42.05
"438","438","Baseline",43.26
"439","439","Baseline",42.16
"440","440","Baseline",42.95
"441","441","Baseline",42.72
"442","442","Baseline",41.43
"443","443","Baseline",43.3
"444","444","Baseline",42.34
"445","445","Baseline",43.33
"446","446","Baseline",43.11
"447","447","Baseline",42.98
"448","448","Baseline",42.84
"449","449","Baseline",42.59
"450","450","Baseline",42.29
"451","451","Baseline",42.83
"452","452","Baseline",42.55
"453","453","Baseline",42.29
"454","454","Baseline",43.41
"455","455","Baseline",42.47
"456","456","Baseline",43.35
"457","457","Baseline",43.22
"458","458","Baseline",43.12
"459","459","Baseline",42.78
"460","460","Baseline",42.79
"461","461","Baseline",42.61
"462","462","Baseline",43.04
"463","463","Baseline",42.93
"464","464","Baseline",42.16
"465","465","Baseline",42.32
"466","466","Baseline",42.47
"467","467","Baseline",43.1
"468","468","Baseline",42.67
"469","469","Baseline",41.82
"470","470","Baseline",42.52
"471","471","Baseline",43.39
"472","472","Baseline",42.75
"473","473","Baseline",42.82
"474","474","Baseline",42.81
"475","475","Baseline",41.92
"476","476","Baseline",42.91
"477","477","Baseline",42.83
"478","478","Baseline",42.44
"479","479","Baseline",42.68
"480","480","Baseline",42.2
"481","481","Baseline",42.13
"482","482","Baseline",41.62
"483","483","Baseline",42.91
"484","484","Baseline",42.68
"485","485","Baseline",43.13
"486","486","Baseline",43.48
"487","487","Baseline",41.9
"488","488","Baseline",42.6
"489","489","Baseline",42.89
"490","490","Baseline",42.92
"491","491","Baseline",42.76
"492","492","Baseline",42.82
"493","493","Baseline",42.6
"494","494","Baseline",43.45
"495","495","Baseline",42.31
"496","496","Baseline",42.59
"497","497","Baseline",42.62
"498","498","Baseline",42.69
"499","499","Baseline",42.26
"500","500","Baseline",42.19
"501","1","S1",39.34
"502","2","S1",39.14
"503","3","S1",38.87
"504","4","S1",38.05
"505","5","S1",39.01
"506","6","S1",39.25
"507","7","S1",39.32
"508","8","S1",39.25
"509","9","S1",39.5
"510","10","S1",39.28
"511","11","S1",40.05
"512","12","S1",39.73
"513","13","S1",39.87
"514","14","S1",39.64
"515","15","S1",39.53
"516","16","S1",39.86
"517","17","S1",39.02
"518","18","S1",39.56
"519","19","S1",39.15
"520","20","S1",39.9
"521","21","S1",39.74
"522","22","S1",39.67
"523","23","S1",40.41
"524","24","S1",39.61
"525","25","S1",39.12
"526","26","S1",39.5
"527","27","S1",38.72
"528","28","S1",39
"529","29","S1",39.78
"530","30","S1",39.19
"531","31","S1",39.63
"532","32","S1",39.13
"533","33","S1",39.27
"534","34","S1",39.39
"535","35","S1",39.86
"536","36","S1",39.71
"537","37","S1",38.74
"538","38","S1",39.66
"539","39","S1",39.22
"540","40","S1",38.55
"541","41","S1",38.46
"542","42","S1",39.15
"543","43","S1",38.9
"544","44","S1",39.26
"545","45","S1",38.98
"546","46","S1",39.44
"547","47","S1",39.95
"548","48","S1",39.49
"549","49","S1",40.18
"550","50","S1",39.59
"551","51","S1",38.89
"552","52","S1",39.52
"553","53","S1",38.49
"554","54","S1",39.02
"555","55","S1",39.31
"556","56","S1",39.6
"557","57","S1",38.51
"558","58","S1",39.1
"559","59","S1",38.63
"560","60","S1",39
"561","61","S1",39.33
"562","62","S1",39.04
"563","63","S1",39.42
"564","64","S1",40.25
"565","65","S1",39.42
"566","66","S1",39.48
"567","67","S1",38.77
"568","68","S1",38.92
"569","69","S1",39.61
"570","70","S1",39.67
"571","71","S1",39.14
"572","72","S1",39.12
"573","73","S1",38.9
"574","74","S1",38.64
"575","75","S1",38.9
"576","76","S1",39.81
"577","77","S1",39.42
"578","78","S1",38.5
"579","79","S1",39.11
"580","80","S1",38.82
"581","81","S1",38.54
"582","82","S1",38.72
"583","83","S1",39.86
"584","84","S1",39.36
"585","85","S1",39.76
"586","86","S1",39.48
"587","87","S1",39.79
"588","88","S1",39.36
"589","89","S1",39.45
"590","90","S1",40.27
"591","91","S1",39.16
"592","92","S1",38.79
"593","93","S1",39.76
"594","94","S1",38.71
"595","95","S1",39.5
"596","96","S1",39.95
"597","97","S1",38.96
"598","98","S1",39.78
"599","99","S1",39.64
"600","100","S1",38.68
"601","101","S1",38.43
"602","102","S1",39.79
"603","103","S1",39.15
"604","104","S1",39.57
"605","105","S1",39.62
"606","106","S1",38.79
"607","107","S1",39.64
"608","108","S1",39.11
"609","109","S1",38.71
"610","110","S1",38.86
"611","111","S1",39.46
"612","112","S1",39.36
"613","113","S1",38.43
"614","114","S1",39.39
"615","115","S1",38.93
"616","116","S1",39.18
"617","117","S1",39.36
"618","118","S1",40.26
"619","119","S1",38.75
"620","120","S1",39.83
"621","121","S1",39.45
"622","122","S1",39.41
"623","123","S1",39.55
"624","124","S1",38.61
"625","125","S1",39.1
"626","126","S1",38.68
"627","127","S1",38.34
"628","128","S1",38.6
"629","129","S1",39.5
"630","130","S1",39.72
"631","131","S1",39.4
"632","132","S1",39.8
"633","133","S1",39.24
"634","134","S1",39.43
"635","135","S1",39.16
"636","136","S1",39.27
"637","137","S1",38.81
"638","138","S1",39.72
"639","139","S1",38.92
"640","140","S1",39.15
"641","141","S1",39.86
"642","142","S1",39.27
"643","143","S1",39.09
"644","144","S1",38.65
"645","145","S1",40.14
"646","146","S1",40
"647","147","S1",38.75
"648","148","S1",39.2
"649","149","S1",38.47
"650","150","S1",38.82
"651","151","S1",38.14
"652","152","S1",40.44
"653","153","S1",38.43
"654","154","S1",38.65
"655","155","S1",39.28
"656","156","S1",39.84
"657","157","S1",39.03
"658","158","S1",38.77
"659","159","S1",38.8
"660","160","S1",39.29
"661","161","S1",39.1
"662","162","S1",39.58
"663","163","S1",39.08
"664","164","S1",39
"665","165","S1",39.36
"666","166","S1",39.23
"667","167","S1",38.56
"668","168","S1",39.48
"669","169","S1",39.23
"670","170","S1",39.91
"671","171","S1",39.37
"672","172","S1",39.19
"673","173","S1",39.2
"674","174","S1",38.29
"675","175","S1",39.76
"676","176","S1",39.28
"677","177","S1",38.04
"678","178","S1",39.53
"679","179","S1",38.73
"680","180","S1",39.19
"681","181","S1",38.87
"682","182","S1",38.69
"683","183","S1",39.7
"684","184","S1",39.31
"685","185","S1",39.24
"686","186","S1",39.96
"687","187","S1",39.13
"688","188","S1",39.83
"689","189","S1",39.3
"690","190","S1",39
"691","191","S1",39.29
"692","192","S1",39.58
"693","193","S1",40.25
"694","194","S1",39.13
"695","195","S1",39.02
"696","196","S1",39.5
"697","197","S1",38.74
"698","198","S1",39.62
"699","199","S1",40.78
"700","200","S1",38.83
"701","201","S1",38.98
"702","202","S1",38.29
"703","203","S1",39.44
"704","204","S1",39.75
"705","205","S1",38.36
"706","206","S1",40.01
"707","207","S1",38.98
"708","208","S1",39.42
"709","209","S1",39.17
"710","210","S1",39.26
"711","211","S1",39.46
"712","212","S1",38.08
"713","213","S1",39.49
"714","214","S1",38.93
"715","215","S1",39.22
"716","216","S1",40.13
"717","217","S1",39.92
"718","218","S1",38.93
"719","219","S1",38.6
"720","220","S1",39.17
"721","221","S1",39.61
"722","222","S1",38.93
"723","223","S1",39.27
"724","224","S1",38.73
"725","225","S1",38.25
"726","226","S1",39.12
"727","227","S1",39.26
"728","228","S1",39.42
"729","229","S1",39.47
"730","230","S1",39.67
"731","231","S1",39.03
"732","232","S1",40.22
"733","233","S1",39.53
"734","234","S1",39.01
"735","235","S1",39.66
"736","236","S1",39.04
"737","237","S1",40.16
"738","238","S1",39.72
"739","239","S1",39.51
"740","240","S1",39.58
"741","241","S1",39.15
"742","242","S1",40.03
"743","243","S1",39.56
"744","244","S1",39.68
"745","245","S1",39.28
"746","246","S1",39.18
"747","247","S1",39.65
"748","248","S1",39.98
"749","249","S1",38.32
"750","250","S1",39.37
"751","251","S1",39.82
"752","252","S1",38.77
"753","253","S1",39.06
"754","254","S1",39.87
"755","255","S1",40.02
"756","256","S1",39.29
"757","257","S1",39.05
"758","258","S1",39.83
"759","259","S1",39.44
"760","260","S1",39.04
"761","261","S1",40.71
"762","262","S1",39.74
"763","263","S1",39.57
"764","264","S1",38.93
"765","265","S1",38.34
"766","266","S1",39.77
"767","267","S1",39.87
"768","268","S1",38.99
"769","269","S1",38.47
"770","270","S1",39.61
"771","271","S1",39.52
"772","272","S1",39.34
"773","273","S1",38.9
"774","274","S1",39.79
"775","275","S1",39.97
"776","276","S1",40.03
"777","277","S1",39.43
"778","278","S1",39.5
"779","279","S1",38.8
"780","280","S1",39.27
"781","281","S1",38.74
"782","282","S1",38.81
"783","283","S1",39.52
"784","284","S1",39.1
"785","285","S1",39.63
"786","286","S1",40.23
"787","287","S1",39.22
"788","288","S1",38.99
"789","289","S1",38.26
"790","290","S1",38.82
"791","291","S1",39.37
"792","292","S1",39.78
"793","293","S1",39.53
"794","294","S1",39.54
"795","295","S1",39.46
"796","296","S1",38.63
"797","297","S1",39.81
"798","298","S1",39.19
"799","299","S1",38.84
"800","300","S1",39.24
"801","301","S1",39.67
"802","302","S1",39.24
"803","303","S1",39.81
"804","304","S1",38.67
"805","305","S1",39.25
"806","306","S1",39.3
"807","307","S1",39.42
"808","308","S1",38.92
"809","309","S1",39.4
"810","310","S1",38.96
"811","311","S1",38.96
"812","312","S1",39.46
"813","313","S1",38.93
"814","314","S1",39.81
"815","315","S1",39.21
"816","316","S1",39.52
"817","317","S1",39.05
"818","318","S1",39.85
"819","319","S1",40.77
"820","320","S1",39.5
"821","321","S1",38.85
"822","322","S1",39.65
"823","323","S1",39.69
"824","324","S1",39.55
"825","325","S1",38.7
"826","326","S1",40.11
"827","327","S1",39.5
"828","328","S1",39.25
"829","329","S1",39.42
"830","330","S1",38.84
"831","331","S1",38.81
"832","332","S1",38.79
"833","333","S1",39.9
"834","334","S1",38.51
"835","335","S1",39.44
"836","336","S1",39.69
"837","337","S1",38.7
"838","338","S1",38.88
"839","339","S1",39.83
"840","340","S1",39.15
"841","341","S1",39.54
"842","342","S1",40.15
"843","343","S1",39.63
"844","344","S1",39.3
"845","345","S1",39.71
"846","346","S1",39.08
"847","347","S1",38.76
"848","348","S1",39.89
"849","349","S1",39.14
"850","350","S1",39.31
"851","351","S1",39.73
"852","352","S1",39.58
"853","353","S1",39.28
"854","354","S1",39.54
"855","355","S1",39.41
"856","356","S1",39.47
"857","357","S1",39.03
"858","358","S1",38.85
"859","359","S1",39.88
"860","360","S1",39.26
"861","361","S1",39.23
"862","362","S1",39.07
"863","363","S1",39.19
"864","364","S1",38.75
"865","365","S1",39.95
"866","366","S1",39.03
"867","367","S1",38.9
"868","368","S1",39.51
"869","369","S1",37.96
"870","370","S1",39.44
"871","371","S1",39.6
"872","372","S1",39.72
"873","373","S1",38.72
"874","374","S1",38.96
"875","375","S1",38.54
"876","376","S1",39.57
"877","377","S1",39.46
"878","378","S1",39.52
"879","379","S1",39.62
"880","380","S1",39.12
"881","381","S1",38.3
"882","382","S1",39.48
"883","383","S1",39.07
"884","384","S1",39.54
"885","385","S1",39.61
"886","386","S1",38.74
"887","387","S1",38.75
"888","388","S1",39.5
"889","389","S1",38.51
"890","390","S1",38.94
"891","391","S1",38.75
"892","392","S1",39.76
"893","393","S1",38.74
"894","394","S1",39.62
"895","395","S1",38.86
"896","396","S1",39.49
"897","397","S1",39.69
"898","398","S1",39.36
"899","399","S1",39.12
"900","400","S1",39.37
"901","401","S1",39.46
"902","402","S1",39.82
"903","403","S1",39.5
"904","404","S1",39.96
"905","405","S1",38.79
"906","406","S1",39.99
"907","407","S1",39.39
"908","408","S1",39.76
"909","409","S1",38.53
"910","410","S1",37.94
"911","411","S1",40.15
"912","412","S1",39.92
"913","413","S1",39.25
"914","414","S1",39.35
"915","415","S1",39.5
"916","416","S1",39.6
"917","417","S1",40.11
"918","418","S1",38.28
"919","419","S1",39.86
"920","420","S1",40.23
"921","421","S1",38.75
"922","422","S1",38.85
"923","423","S1",39.05
"924","424","S1",40.07
"925","425","S1",40.17
"926","426","S1",39
"927","427","S1",40.21
"928","428","S1",38.93
"929","429","S1",39.08
"930","430","S1",39.01
"931","431","S1",38.75
"932","432","S1",39.38
"933","433","S1",39.23
"934","434","S1",38.7
"935","435","S1",38.87
"936","436","S1",39.33
"937","437","S1",38.66
"938","438","S1",39.77
"939","439","S1",38.59
"940","440","S1",39.65
"941","441","S1",39.1
"942","442","S1",38.26
"943","443","S1",40.02
"944","444","S1",39.2
"945","445","S1",39.52
"946","446","S1",39.42
"947","447","S1",39.92
"948","448","S1",39.48
"949","449","S1",38.87
"950","450","S1",38.63
"951","451","S1",39.92
"952","452","S1",39.18
"953","453","S1",39.49
"954","454","S1",39.95
"955","455","S1",39.31
"956","456","S1",39.78
"957","457","S1",39.61
"958","458","S1",40.09
"959","459","S1",39.07
"960","460","S1",38.67
"961","461","S1",39.34
"962","462","S1",39.89
"963","463","S1",39.6
"964","464","S1",38.8
"965","465","S1",39.07
"966","466","S1",38.74
"967","467","S1",39.75
"968","468","S1",39.19
"969","469","S1",38.41
"970","470","S1",39.63
"971","471","S1",39.59
"972","472","S1",39.11
"973","473","S1",39.47
"974","474","S1",39.11
"975","475","S1",39.1
"976","476","S1",40.02
"977","477","S1",39.9
"978","478","S1",39.17
"979","479","S1",39.66
"980","480","S1",38.13
"981","481","S1",38.69
"982","482","S1",38.07
"983","483","S1",39.16
"984","484","S1",39.13
"985","485","S1",39.69
"986","486","S1",39.91
"987","487","S1",38.28
"988","488","S1",38.81
"989","489","S1",39.42
"990","490","S1",39.77
"991","491","S1",38.78
"992","492","S1",39.12
"993","493","S1",39.63
"994","494","S1",39.67
"995","495","S1",38.65
"996","496","S1",39.43
"997","497","S1",39.12
"998","498","S1",39.56
"999","499","S1",39.05
"1000","500","S1",38.76
"1001","1","S2",39.19
"1002","2","S2",38.96
"1003","3","S2",38.73
"1004","4","S2",37.9
"1005","5","S2",38.83
"1006","6","S2",39.13
"1007","7","S2",39.18
"1008","8","S2",39.11
"1009","9","S2",39.4
"1010","10","S2",39.17
"1011","11","S2",39.94
"1012","12","S2",39.63
"1013","13","S2",39.75
"1014","14","S2",39.47
"1015","15","S2",39.36
"1016","16","S2",39.79
"1017","17","S2",38.85
"1018","18","S2",39.38
"1019","19","S2",39.01
"1020","20","S2",39.79
"1021","21","S2",39.65
"1022","22","S2",39.53
"1023","23","S2",40.29
"1024","24","S2",39.51
"1025","25","S2",39
"1026","26","S2",39.37
"1027","27","S2",38.59
"1028","28","S2",38.85
"1029","29","S2",39.69
"1030","30","S2",39.06
"1031","31","S2",39.49
"1032","32","S2",39.01
"1033","33","S2",39.19
"1034","34","S2",39.21
"1035","35","S2",39.78
"1036","36","S2",39.58
"1037","37","S2",38.65
"1038","38","S2",39.53
"1039","39","S2",39.11
"1040","40","S2",38.48
"1041","41","S2",38.3
"1042","42","S2",39.02
"1043","43","S2",38.77
"1044","44","S2",39.14
"1045","45","S2",38.83
"1046","46","S2",39.26
"1047","47","S2",39.77
"1048","48","S2",39.35
"1049","49","S2",40.06
"1050","50","S2",39.51
"1051","51","S2",38.82
"1052","52","S2",39.4
"1053","53","S2",38.35
"1054","54","S2",38.94
"1055","55","S2",39.17
"1056","56","S2",39.42
"1057","57","S2",38.41
"1058","58","S2",39.03
"1059","59","S2",38.53
"1060","60","S2",38.89
"1061","61","S2",39.17
"1062","62","S2",38.89
"1063","63","S2",39.34
"1064","64","S2",40.17
"1065","65","S2",39.3
"1066","66","S2",39.38
"1067","67","S2",38.61
"1068","68","S2",38.81
"1069","69","S2",39.49
"1070","70","S2",39.53
"1071","71","S2",39.06
"1072","72","S2",38.97
"1073","73","S2",38.75
"1074","74","S2",38.51
"1075","75","S2",38.75
"1076","76","S2",39.63
