"","x"
"522",27.5
"523",2
"524",27.5
"525",27.5
"526",32.5
"527",8.5
"528",4
"529",6
"530",8.5
"531",2
"532",22.5
"533",72.5
"534",12.5
"535",37.5
"536",4
"537",6
"538",6
"539",6
"540",17.5
"541",12.5
"542",0.5
"543",12.5
"544",4
"545",8.5
"546",12.5
"547",8.5
"548",12.5
"549",22.5
"550",17.5
"551",27.5
"552",22.5
"553",6
"554",4
"555",2
"556",4
"557",8.5
"558",42.5
"559",12.5
"560",12.5
"561",2
"562",8.5
"563",8.5
"564",37.5
"565",12.5
"566",27.5
"567",12.5
"568",8.5
"569",17.5
"570",12.5
"571",2
"572",6
"573",8.5
"574",2
"575",47.5
"576",6
"577",2
"578",22.5
"579",8.5
"580",4
"581",8.5
"582",4
"583",37.5
"584",32.5
"585",6
"586",12.5
"587",17.5
"588",6
"589",12.5
"590",12.5
"591",2
"592",8.5
"593",37.5
"594",17.5
"595",6
"596",8.5
"597",2
"598",0.5
"599",22.5
"600",12.5
"601",22.5
"602",12.5
"603",0.5
"604",37.5
"605",2
"606",12.5
"607",32.5
"608",2
"609",37.5
"610",6
"611",17.5
"612",4
"613",4
"614",32.5
"615",17.5
"616",17.5
"617",42.5
"618",12.5
"619",4
"620",6
"621",27.5
"622",8.5
"623",12.5
"624",12.5
"625",92.5
"626",22.5
"627",6
"628",6
"629",12.5
"630",12.5
"631",12.5
"632",8.5
"633",47.5
"634",2
"635",0.5
"636",8.5
"637",6
"638",6
"639",32.5
"640",0.5
"641",52.5
"642",2
"643",2
"644",6
"645",0.5
"646",4
"647",22.5
"648",8.5
"649",17.5
"650",2
"651",8.5
"652",47.5
"653",6
"654",4
"655",37.5
"656",8.5
"657",12.5
"658",4
"659",12.5
"660",0.5
"661",2
"662",17.5
"663",4
"664",2
"665",4
"666",12.5
"667",12.5
"668",12.5
"669",12.5
"670",32.5
"671",6
"672",6
"673",6
"674",17.5
"675",4
"676",4
"677",22.5
"678",12.5
"679",12.5
"680",12.5
"681",12.5
"682",2
"683",12.5
"684",17.5
"685",12.5
"686",0.5
"687",6
"688",17.5
"689",12.5
"690",2
"691",2
"692",22.5
"693",12.5
"694",4
"695",4
"696",2
"697",12.5
"698",2
"699",22.5
"700",2
"701",17.5
"702",12.5
"703",47.5
"704",52.5
"705",17.5
"706",27.5
"707",47.5
"708",2
"709",0.5
"710",2
"711",2
"712",4
"713",8.5
"714",4
"715",17.5
"716",27.5
"717",8.5
"718",6
"719",12.5
"720",17.5
"721",6
"722",8.5
"723",12.5
"724",12.5
"725",8.5
"726",27.5
"727",12.5
"728",8.5
"729",37.5
"730",42.5
"731",22.5
"732",27.5
"733",22.5
"734",2
"735",0.5
"736",27.5
"737",8.5
"738",4
"739",4
"740",17.5
"741",8.5
"742",0.5
"743",52.5
"744",6
"745",4
"746",2
"747",22.5
"748",8.5
"749",102.5
"750",4
"751",4
"752",37.5
"753",27.5
"754",8.5
"755",22.5
"756",8.5
"757",4
"758",8.5
"759",6
"760",22.5
"761",0.5
"762",8.5
"763",4
"764",8.5
"765",2
"766",6
"767",2
"768",12.5
"769",17.5
"770",27.5
"771",8.5
"772",8.5
"773",6
"774",4
"775",12.5
"776",0.5
"777",8.5
"778",4
"779",12.5
"780",6
"781",22.5
"782",2
"783",17.5
"784",12.5
"785",4
"786",22.5
"787",12.5
"788",4
"789",4
"790",17.5
"791",57.5
"792",4
"793",0.5
"794",8.5
"795",12.5
"796",12.5
"797",42.5
"798",2
"799",27.5
"800",8.5
"801",4
"802",12.5
"803",2
"804",4
"805",17.5
"806",8.5
"807",8.5
"808",2
"809",12.5
"810",4
"811",4
"812",8.5
"813",0.5
"814",17.5
"815",17.5
"816",12.5
"817",27.5
"818",27.5
"819",12.5
"820",27.5
"821",8.5
"822",17.5
"823",27.5
"824",12.5
"825",0.5
"826",22.5
"827",8.5
"828",2
"829",2
"830",12.5
"831",22.5
"832",2
"833",2
"834",6
"835",22.5
"836",12.5
"837",17.5
"838",4
"839",6
"840",2
"841",4
"842",12.5
"843",6
"844",0.5
"845",8.5
"846",6
"847",6
"848",8.5
"849",12.5
"850",22.5
"851",27.5
"852",47.5
"853",4
"854",8.5
"855",42.5
"856",22.5
"857",6
"858",22.5
"859",8.5
"860",17.5
"861",37.5
"862",27.5
"863",2
"864",2
"865",4
"866",4
"867",2
"868",2
"869",4
"870",4
"871",6
"872",22.5
"873",12.5
"874",2
"875",2
"876",8.5
"877",42.5
"878",8.5
"879",6
"880",8.5
"881",12.5
"882",37.5
"883",2
"884",4
"885",4
"886",17.5
"887",2
"888",8.5
"889",22.5
"890",8.5
"891",4
"892",6
"893",8.5
"894",8.5
"895",4
"896",6
"897",22.5
"898",27.5
"899",8.5
"900",12.5
"901",2
"902",6
"903",17.5
"904",12.5
"905",47.5
"906",2
"907",8.5
"908",12.5
"909",6
"910",12.5
"911",12.5
"912",22.5
"913",0.5
"914",22.5
"915",42.5
"916",12.5
"917",6
"918",17.5
"919",6
"920",17.5
"921",22.5
"922",0.5
"923",6
"924",37.5
"925",6
"926",2
"927",8.5
"928",6
"929",2
"930",52.5
"931",4
"932",4
"933",17.5
"934",2
"935",17.5
"936",6
"937",17.5
"938",2
"939",2
"940",6
"941",4
"942",0.5
"943",37.5
"944",4
"945",22.5
"946",27.5
"947",6
"948",6
"949",8.5
"950",12.5
"951",42.5
"952",8.5
"953",8.5
"954",8.5
"955",4
"956",37.5
"957",8.5
"958",12.5
"959",2
"960",42.5
"961",2
"962",8.5
"963",47.5
"964",32.5
"965",0.5
"966",2
"967",2
"968",27.5
"969",6
"970",6
"971",12.5
"972",6
"973",12.5
"974",17.5
"975",12.5
"976",6
"977",12.5
"978",12.5
"979",4
"980",0.5
"981",62.5
"982",12.5
"983",22.5
"984",2
"985",22.5
"986",8.5
"987",2
"988",8.5
"989",4
"990",8.5
"991",12.5
"992",37.5
"993",17.5
"994",17.5
"995",22.5
"996",17.5
"997",4
"998",12.5
"999",87.5
"1000",8.5
"1001",4
"1002",6
"1003",6
"1004",17.5
"1005",12.5
"1006",12.5
"1007",6
"1008",8.5
"1009",22.5
"1010",6
"1011",2
"1012",6
"1013",6
"1014",0.5
"1015",12.5
"1016",4
"1017",37.5
"1018",4
"1019",12.5
"1020",17.5
"1021",0.5
"1022",22.5
"1023",12.5
"1024",42.5
"1025",8.5
"1026",12.5
"1027",2
"1028",12.5
"1029",4
"1030",8.5
"1031",17.5
"1032",8.5
"1033",17.5
"1034",4
"1035",4
"1036",2
"1037",12.5
"1038",17.5
"1039",6
"1040",12.5
"1041",6
"1042",12.5
"1043",27.5
"1044",6
"1045",2
"1046",12.5
"1047",8.5
"1048",4
"1049",17.5
"1050",22.5
"1051",4
"1052",6
"1053",52.5
"1054",17.5
"1055",12.5
"1056",27.5
"1057",8.5
"1058",6
"1059",2
"1060",0.5
"1061",8.5
"1062",8.5
"1063",22.5
"1064",4
"1065",4
"1066",12.5
"1067",17.5
"1068",37.5
"1069",62.5
"1070",8.5
"1071",27.5
"1072",12.5
"1073",2
"1074",8.5
"1075",4
"1076",32.5
"1077",12.5
"1078",2
"1079",17.5
"1080",12.5
"1081",0.5
"1082",8.5
"1083",0.5
"1084",4
"1085",8.5
"1086",4
"1087",4
"1088",4
"1089",4
"1090",4
"1091",37.5
"1092",2
"1093",6
"1094",17.5
"1095",2
"1096",42.5
"1097",62.5
"1098",2
"1099",62.5
"1100",8.5
"1101",6
"1102",2
"1103",2
"1104",0.5
"1105",0.5
"1106",12.5
"1107",2
"1108",17.5
"1109",17.5
"1110",12.5
"1111",4
"1112",2
"1113",2
"1114",8.5
"1115",37.5
"1116",8.5
"1117",17.5
"1118",17.5
"1119",6
"1120",8.5
"1121",4
"1122",2
"1123",27.5
"1124",8.5
"1125",6
"1126",6
"1127",8.5
"1128",17.5
"1129",12.5
"1130",4
"1131",32.5
"1132",17.5
"1133",2
"1134",12.5
"1135",4
"1136",12.5
"1137",17.5
"1138",22.5
"1139",6
"1140",2
"1141",22.5
"1142",0.5
"1143",12.5
"1144",2
"1145",2
"1146",6
"1147",4
"1148",6
"1149",6
"1150",2
"1151",8.5
"1152",17.5
"1153",12.5
"1154",17.5
"1155",37.5
"1156",12.5
"1157",2
"1158",12.5
"1159",27.5
"1160",52.5
"1161",6
"1162",6
"1163",22.5
"1164",32.5
"1165",2
"1166",4
"1167",22.5
"1168",12.5
"1169",12.5
"1170",22.5
"1171",2
"1172",4
"1173",8.5
"1174",37.5
"1175",2
"1176",12.5
"1177",4
"1178",22.5
"1179",0.5
"1180",0.5
"1181",22.5
"1182",17.5
"1183",4
"1184",47.5
"1185",2
"1186",17.5
"1187",17.5
"1188",6
"1189",2
"1190",32.5
"1191",8.5
"1192",4
"1193",8.5
"1194",12.5
"1195",42.5
"1196",22.5
"1197",42.5
"1198",2
"1199",17.5
"1200",12.5
"1201",17.5
"1202",2
"1203",27.5
"1204",17.5
"1205",12.5
"1206",8.5
"1207",4
"1208",2
"1209",0.5
"1210",12.5
"1211",37.5
"1212",37.5
"1213",8.5
"1214",57.5
"1215",8.5
"1216",22.5
"1217",22.5
"1218",2
"1219",12.5
"1220",47.5
"1221",22.5
"1222",4
"1223",6
"1224",27.5
"1225",0.5
"1226",67.5
"1227",0.5
"1228",4
"1229",12.5
"1230",17.5
"1231",2
"1232",17.5
"1233",27.5
"1234",27.5
"1235",37.5
"1236",17.5
"1237",8.5
"1238",22.5
"1239",17.5
"1240",4
"1241",2
"1242",12.5
"1243",12.5
"1244",12.5
"1245",22.5
"1246",22.5
"1247",22.5
"1248",12.5
"1249",4
"1250",8.5
"1251",6
"1252",4
"1253",2
"1254",4
"1255",17.5
"1256",37.5
"1257",4
"1258",6
"1259",12.5
"1260",4
"1261",17.5
"1262",77.5
"1263",12.5
"1264",2
"1265",22.5
"1266",2
"1267",67.5
"1268",12.5
"1269",8.5
"1270",2
"1271",6
"1272",32.5
"1273",8.5
"1274",8.5
"1275",17.5
"1276",32.5
"1277",6
"1278",17.5
"1279",8.5
"1280",17.5
"1281",17.5
"1282",0.5
"1283",12.5
"1284",2
"1285",4
"1286",12.5
"1287",17.5
"1288",17.5
"1289",17.5
"1290",8.5
"1291",12.5
"1292",12.5
"1293",57.5
"1294",6
"1295",22.5
"1296",17.5
"1297",6
"1298",12.5
"1299",6
"1300",32.5
"1301",6
"1302",52.5
"1303",6
"1304",2
"1305",6
"1306",8.5
"1307",2
"1308",6
"1309",8.5
"1310",37.5
"1311",12.5
"1312",17.5
"1313",8.5
"1314",6
"1315",32.5
"1316",47.5
"1317",17.5
"1318",17.5
"1319",32.5
"1320",2
"1321",47.5
"1322",17.5
"1323",4
"1324",12.5
"1325",0.5
"1326",12.5
"1327",12.5
"1328",17.5
"1329",12.5
"1330",12.5
"1331",4
"1332",6
"1333",8.5
"1334",12.5
"1335",8.5
"1336",4
"1337",2
"1338",8.5
"1339",22.5
"1340",12.5
"1341",17.5
"1342",4
"1343",8.5
"1344",62.5
"1345",17.5
"1346",12.5
"1347",4
"1348",4
"1349",12.5
"1350",22.5
"1351",32.5
"1352",2
"1353",2
"1354",8.5
"1355",2
"1356",12.5
"1357",22.5
"1358",47.5
"1359",27.5
"1360",12.5
"1361",8.5
"1362",4
"1363",8.5
"1364",8.5
"1365",32.5
"1366",17.5
"1367",8.5
"1368",6
"1369",17.5
"1370",8.5
"1371",12.5
"1372",8.5
"1373",17.5
"1374",12.5
"1375",22.5
"1376",4
"1377",22.5
"1378",2
"1379",47.5
"1380",17.5
"1381",2
"1382",6
"1383",22.5
"1384",0.5
"1385",52.5
"1386",4
"1387",27.5
"1388",6
"1389",6
"1390",4
"1391",0.5
"1392",12.5
"1393",4
"1394",8.5
"1395",8.5
"1396",6
"1397",37.5
"1398",22.5
"1399",47.5
"1400",8.5
"1401",2
"1402",6
"1403",2
"1404",37.5
"1405",22.5
"1406",27.5
"1407",12.5
"1408",2
"1409",2
"1410",12.5
"1411",12.5
"1412",8.5
"1413",27.5
"1414",6
"1415",4
"1416",12.5
"1417",17.5
"1418",17.5
"1419",22.5
"1420",2
"1421",12.5
"1422",6
"1423",22.5
"1424",37.5
"1425",12.5
"1426",27.5
"1427",4
"1428",6
"1429",8.5
"1430",4
"1431",4
"1432",8.5
"1433",22.5
"1434",2
"1435",2
"1436",6
"1437",12.5
"1438",6
"1439",8.5
"1440",17.5
"1441",32.5
"1442",2
"1443",2
"1444",47.5
"1445",42.5
"1446",4
"1447",6
"1448",22.5
"1449",8.5
"1450",2
"1451",12.5
"1452",37.5
"1453",27.5
"1454",27.5
"1455",12.5
"1456",4
"1457",17.5
"1458",2
"1459",12.5
"1460",8.5
"1461",22.5
"1462",12.5
"1463",2
"1464",4
"1465",12.5
"1466",2
"1467",2
"1468",4
"1469",12.5
"1470",2
"1471",12.5
"1472",22.5
"1473",2
"1474",8.5
"1475",6
"1476",8.5
"1477",22.5
"1478",2
"1479",0.5
"1480",2
"1481",2
"1482",12.5
"1483",0.5
"1484",17.5
"1485",37.5
"1486",12.5
"1487",4
"1488",2
"1489",6
"1490",4
"1491",2
"1492",12.5
"1493",37.5
"1494",22.5
"1495",8.5
"1496",27.5
"1497",12.5
"1498",6
"1499",22.5
"1500",12.5
"1501",22.5
"1502",4
"1503",6
"1504",22.5
"1505",12.5
"1506",2
"1507",6
"1508",8.5
"1509",8.5
"1510",12.5
"1511",8.5
"1512",0.5
"1513",22.5
"1514",2
"1515",67.5
"1516",6
"1517",2
"1518",17.5
"1519",4
"1520",17.5
"1521",0.5
"1522",6
"1523",0.5
"1524",8.5
"1525",17.5
"1526",12.5
"1527",4
"1528",17.5
"1529",6
"1530",32.5
"1531",17.5
"1532",17.5
"1533",12.5
"1534",12.5
"1535",6
"1536",4
"1537",72.5
"1538",6
"1539",2
"1540",72.5
"1541",6
"1542",2
"1543",8.5
"1544",4
"1545",2
"1546",6
"1547",8.5
"1548",2
"1549",12.5
"1550",17.5
"1551",37.5
"1552",12.5
"1553",12.5
"1554",12.5
"1555",17.5
"1556",12.5
"1557",2
"1558",2
"1559",2
"1560",22.5
"1561",27.5
"1562",2
"1563",52.5
"1564",12.5
"1565",32.5
"1566",12.5
"1567",2
"1568",2
"1569",8.5
"1570",6
"1571",27.5
"1572",2
"1573",6
"1574",17.5
"1575",2
"1576",0.5
"1577",4
"1578",8.5
"1579",12.5
"1580",27.5
"1581",42.5
"1582",17.5
"1583",4
"1584",52.5
"1585",8.5
"1586",0.5
"1587",4
"1588",2
"1589",52.5
"1590",2
"1591",27.5
"1592",8.5
"1593",12.5
"1594",0.5
"1595",37.5
"1596",6
"1597",8.5
"1598",17.5
"1599",2
"1600",22.5
"1601",12.5
"1602",4
"1603",8.5
"1604",12.5
"1605",22.5
"1606",17.5
"1607",17.5
"1608",12.5
"1609",42.5
"1610",8.5
"1611",67.5
"1612",22.5
"1613",0.5
"1614",22.5
"1615",22.5
"1616",6
"1617",17.5
"1618",4
"1619",8.5
"1620",47.5
"1621",12.5
"1622",12.5
"1623",12.5
"1624",12.5
"1625",8.5
"1626",12.5
"1627",12.5
"1628",0.5
"1629",8.5
"1630",6
"1631",17.5
"1632",12.5
"1633",17.5
"1634",2
"1635",2
"1636",4
"1637",2
"1638",4
"1639",37.5
"1640",12.5
"1641",27.5
"1642",37.5
"1643",47.5
"1644",2
"1645",17.5
"1646",17.5
"1647",6
"1648",17.5
"1649",12.5
"1650",12.5
"1651",17.5
"1652",8.5
"1653",8.5
"1654",42.5
"1655",8.5
"1656",12.5
"1657",8.5
"1658",2
"1659",17.5
"1660",0.5
"1661",0.5
"1662",4
"1663",17.5
"1664",6
"1665",4
"1666",12.5
"1667",6
"1668",6
"1669",4
"1670",37.5
"1671",17.5
"1672",2
"1673",22.5
"1674",77.5
"1675",2
"1676",8.5
"1677",12.5
"1678",4
"1679",0.5
"1680",2
"1681",22.5
"1682",4
"1683",32.5
"1684",2
"1685",2
"1686",8.5
"1687",2
"1688",4
"1689",22.5
"1690",12.5
"1691",2
"1692",8.5
"1693",6
"1694",12.5
"1695",37.5
"1696",17.5
"1697",17.5
"1698",27.5
"1699",2
"1700",2
"1701",42.5
"1702",4
"1703",2
"1704",6
"1705",12.5
"1706",17.5
"1707",2
"1708",27.5
"1709",2
"1710",4
"1711",8.5
"1712",17.5
"1713",0.5
"1714",2
"1715",57.5
"1716",12.5
"1717",6
"1718",22.5
"1719",22.5
"1720",12.5
"1721",6
"1722",67.5
"1723",62.5
"1724",17.5
"1725",17.5
"1726",12.5
"1727",12.5
"1728",37.5
"1729",0.5
"1730",12.5
"1731",27.5
"1732",6
"1733",12.5
"1734",6
"1735",37.5
"1736",4
"1737",8.5
"1738",2
"1739",17.5
"1740",17.5
"1741",6
"1742",6
"1743",17.5
"1744",17.5
"1745",4
"1746",2
"1747",4
"1748",0.5
"1749",0.5
"1750",17.5
"1751",12.5
"1752",17.5
"1753",4
"1754",12.5
"1755",12.5
"1756",22.5
"1757",17.5
"1758",4
"1759",17.5
"1760",17.5
"1761",4
"1762",6
"1763",4
"1764",6
"1765",17.5
"1766",12.5
"1767",6
"1768",0.5
"1769",17.5
"1770",17.5
"1771",37.5
"1772",0.5
"1773",32.5
"1774",2
"1775",0.5
"1776",22.5
"1777",6
"1778",6
"1779",8.5
"1780",2
"1781",6
"1782",17.5
"1783",32.5
"1784",2
"1785",22.5
"1786",2
"1787",6
"1788",2
"1789",27.5
"1790",22.5
"1791",4
"1792",12.5
"1793",27.5
"1794",2
"1795",22.5
"1796",8.5
"1797",12.5
"1798",32.5
"1799",12.5
"1800",12.5
"1801",12.5
"1802",22.5
"1803",42.5
"1804",12.5
"1805",6
"1806",0.5
"1807",12.5
"1808",8.5
"1809",27.5
"1810",8.5
"1811",12.5
"1812",12.5
"1813",6
"1814",2
"1815",4
"1816",12.5
"1817",17.5
"1818",6
"1819",6
"1820",2
"1821",2
"1822",6
"1823",17.5
"1824",2
"1825",8.5
"1826",6
"1827",37.5
"1828",4
"1829",0.5
"1830",17.5
"1831",2
"1832",8.5
"1833",2
"1834",2
"1835",2
"1836",12.5
"1837",8.5
"1838",4
"1839",17.5
"1840",2
"1841",12.5
"1842",22.5
"1843",12.5
"1844",17.5
"1845",8.5
"1846",2
"1847",6
"1848",17.5
"1849",12.5
"1850",17.5
"1851",27.5
"1852",17.5
"1853",2
"1854",17.5
"1855",4
"1856",22.5
"1857",8.5
"1858",22.5
"1859",4
"1860",8.5
"1861",2
"1862",2
"1863",8.5
"1864",4
"1865",17.5
"1866",6
"1867",4
"1868",2
"1869",32.5
"1870",4
"1871",12.5
"1872",2
"1873",17.5
"1874",17.5
"1875",17.5
"1876",8.5
"1877",8.5
"1878",4
"1879",6
"1880",17.5
"1881",8.5
"1882",2
"1883",2
"1884",0.5
"1885",8.5
"1886",4
"1887",17.5
"1888",6
"1889",17.5
"1890",8.5
"1891",0.5
"1892",2
"1893",6
"1894",6
"1895",37.5
"1896",2
"1897",12.5
"1898",37.5
"1899",12.5
"1900",42.5
"1901",12.5
"1902",12.5
"1903",0.5
"1904",17.5
"1905",4
"1906",17.5
"1907",37.5
"1908",32.5
"1909",0.5
"1910",4
"1911",12.5
"1912",6
"1913",8.5
"1914",17.5
"1915",2
"1916",6
"1917",6
"1918",2
"1919",4
"1920",4
"1921",4
"1922",12.5
"1923",2
"1924",8.5
"1925",17.5
"1926",2
"1927",8.5
"1928",8.5
"1929",4
"1930",12.5
"1931",8.5
"1932",12.5
"1933",17.5
"1934",12.5
"1935",2
"1936",32.5
"1937",2
"1938",4
"1939",22.5
"1940",2
"1941",52.5
"1942",8.5
"1943",4
"1944",4
"1945",2
"1946",2
"1947",47.5
"1948",2
"1949",47.5
"1950",0.5
"1951",12.5
"1952",8.5
"1953",12.5
"1954",12.5
"1955",27.5
"1956",4
"1957",8.5
"1958",0.5
"1959",8.5
"1960",8.5
"1961",22.5
"1962",4
"1963",6
"1964",17.5
"1965",6
"1966",8.5
"1967",32.5
"1968",6
"1969",8.5
"1970",6
"1971",2
"1972",6
"1973",2
"1974",27.5
"1975",4
"1976",8.5
"1977",8.5
"1978",2
"1979",8.5
"1980",12.5
"1981",0.5
"1982",22.5
"1983",32.5
"1984",6
"1985",6
"1986",2
"1987",37.5
"1988",4
"1989",4
"1990",27.5
"1991",12.5
"1992",22.5
"1993",6
"1994",8.5
"1995",4
"1996",22.5
"1997",6
"1998",8.5
"1999",17.5
"2000",6
"2001",17.5
"2002",27.5
"2003",0.5
"2004",0.5
"2005",17.5
"2006",17.5
"2007",4
"2008",2
"2009",2
"2010",4
"2011",42.5
"2012",0.5
"2013",12.5
"2014",27.5
"2015",17.5
"2016",8.5
"2017",2
"2018",17.5
"2019",62.5
"2020",62.5
"2021",2
"2022",0.5
"2023",2
"2024",52.5
"2025",6
"2026",2
"2027",2
"2028",8.5
"2029",17.5
"2030",6
"2031",0.5
"2032",27.5
"2033",12.5
"2034",8.5
"2035",17.5
"2036",22.5
"2037",8.5
"2038",8.5
"2039",6
"2040",22.5
"2041",4
"2042",22.5
"2043",12.5
"2044",4
"2045",0.5
"2046",4
"2047",0.5
"2048",4
"2049",8.5
"2050",8.5
"2051",27.5
"2052",27.5
"2053",37.5
"2054",8.5
"2055",8.5
"2056",17.5
